Indice eficienta emisii,Impact proteic al emisiilor,entity
2.41187331695419,-0.7573587103316389,Prawns
-0.39749491390557884,-0.015578769138421576,Protein bar
-0.3793804167892876,0.004581832848123901,Protein shake
-0.7159014030170966,-0.1885144996417785,Pumpkin seeds
-0.7062189858465283,-0.1612416434230954,Quinoa
-0.3910534940523687,0.1865625250944265,Rapeseed oil
2.404451747078453,1.214304210319296,Raspberries
-0.34514543653145735,0.009263040771792156,Rice
-0.4084859832204935,0.05487180417420278,Rice noodles
0.43266752213181275,-0.3562675015814654,Ricotta cheese
0.18898694900895965,-0.37140600757923264,Salmon
-0.620332765861614,-0.09255544078686169,Shortbread biscuits
-0.7242447700055441,-0.15449661747856808,Sourdough bread
-0.5274678558541563,-0.11301101181147791,Soy milk
-0.6457109615778777,-0.15625306864086003,Spaghetti
-0.39828311686197315,-0.13214373889839892,Spinach
-0.6113199113904865,-0.03836730995810529,Sponge cake
0.09417554123591125,0.4860009356117731,Strawberries
1.535715710190641,5.277170584649767,Sugar
-0.6157667739239707,-0.26455072423682047,Sunflower oil
-0.6845686757419619,-0.1907618876644904,Sunflower seeds
-0.6259827061866496,-0.1371864077416687,Sweetcorn
-0.7096638266246219,-0.18422749285206577,Tofu
-0.2676397745141297,0.2960154986685192,Tomato ketchup
0.646500012161147,0.5186915839225033,Tomatoes
-0.7158773385605872,-0.15718920456390675,Tortilla wraps
0.6315352323381088,-0.5127630661181617,Tuna
-0.6458006879336035,-0.17576253316254042,Walnuts
-0.3361465446910526,0.31811212890031726,Watermelon
-0.23205544058457844,-0.03819617353231029,Yoghurt
