Siruta,Localitate,Judet,Categorie
41177,Hoghiz,bv,Barbati_45-64
41248,Homorod,bv,Barbati_45-64
41284,Jibert,bv,Barbati_45-64
41346,Lisa,bv,Barbati_45-64
41382,Maierus,bv,Barbati_45-64
41417,Mandra,bv,Barbati_45-64
41471,Moieciu,bv,Barbati_45-64
41541,Ormenis,bv,Barbati_45-64
41578,Parau,bv,Barbati_45-64
41621,Poiana Marului,bv,Barbati_45-64
41667,Prejmer,bv,Femei_45-64
41701,Racos,bv,Barbati_45-64
41738,Recea,bv,Barbati_45-64
41818,Sercaia,bv,Barbati_45-64
41854,Sinca,bv,Barbati_45-64
41925,Sanpetru,bv,Barbati_45-64
41943,Soars,bv,Femei_45-64
42003,Tarlungeni,bv,Barbati_45-64
42058,Teliu,bv,Femei_45-64
42076,Ticusu,bv,Barbati_45-64
42101,Ucea,bv,Barbati_45-64
42156,Ungra,bv,Barbati_45-64
42183,Vama Buzaului,bv,Barbati_45-64
42236,Vistea,bv,Barbati_45-64
42307,Voila,bv,Barbati_45-64
42398,Vulcan,bv,Barbati_45-64
42449,Sinca Noua,bv,Barbati_45-64
42456,Crizbav,bv,Femei_45-64
42464,Sambata De Sus,bv,Barbati_45-64
42472,Holbav,bv,Barbati_45-64
42480,Dragus,bv,Barbati_45-64
42498,Augustin,bv,Barbati_45-64
42682,Municipiul Braila,br,Femei_45-64
42708,Chiscani,br,Barbati_45-64
42753,Oras Faurei,br,Barbati_45-64
42771,Surdila-Greci,br,Barbati_45-64
42824,Baraganul,br,Barbati_45-64
42842,Bertestii De Jos,br,Barbati_45-64
