Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
nt,0.03544208762372612,-0.16555972214709896,0.1728332887319379,0.6349754109981725,2.3329299592322386,-1.9140165950319568,-0.34333084549769544,-0.8955164531134796,-1.0654137610142655,-1.424199003915386,-0.41201356170902315,-0.20417685555780293,1.8486960247353905,-0.23513109789259082,-0.1703954620278616,1.6021352259298172,-1.4671956721192974,-0.244118840609518,-0.1949319137988719,0.5643746447347606,0.4045625819649463,0.5820124930620364,0.13175878306374242,-1.1137875169681792,0.10418368283344534,-0.6964499293436199,0.06434102822575087,0.8479154664922158,0.1299300254804075,-0.07703463427212062,0.0
ot,-0.13465877308967125,-0.5470812223150715,0.1043326292493757,-0.648728694427605,-0.14481574651458887,-0.9280059230428226,-0.24291413042342325,1.1051038025042748,-0.3858917252710039,0.1566752783722497,0.3647721070426196,0.9600947722319811,0.43003523988831477,-0.3502393284844503,-1.303638919377064,-0.4430278509944547,-1.232885725647134,-0.7218367397825926,-1.056199586611507,-0.10734207994937058,-0.137742632740828,-2.6183961548229635,-0.88453641183704,-0.7282013076981758,0.4925155546418958,1.1284193364845143,-0.25129342437690355,0.5133089315298348,1.183026230312726,-0.7559630878044995,0.0
ph,-0.6819476869000647,1.0200499784083652,-0.03846106056531078,-0.489864132893938,-0.9203594335889473,-0.7620034213896734,-0.4298449737471833,0.15827967266925583,-0.7539882068058406,-1.557636922418023,0.7887781388759404,-0.9546103153830008,-0.8464672301968842,-0.14494084670207205,1.9046366053265478,-0.341271074350565,-0.937561101548055,1.0191117316495386,-0.021692820001308583,1.2190800887522657,0.841379010355641,-0.25083293277238244,-0.4857198648207811,-1.1856138814996957,-0.5314852543335925,-0.5715875257684093,-1.7068997213886163,0.19211532295017447,0.8754243954159004,0.3105234661753017,0.0
sj,0.07639246239103895,-1.382864727407816,0.00013025572563716404,-0.7555676091281663,0.037592647876458,1.6295573507188914,1.4060597353924296,0.06330433970653994,0.5088281971222514,-0.5748192005021986,0.048060323550234645,-0.584790914406476,1.6975130759596713,-0.6823159249548882,0.6093467929564215,-0.5320037529846157,0.43160354729366784,-1.2281793269488834,1.3238027587214043,-0.3814842939540555,1.1460077341508756,1.5913847369205547,0.619304205595425,-0.8836829572199362,-0.29886341601229083,0.23708456547995055,-1.343774368911531,-0.12584242372963475,-0.3348588603098706,-0.7011015221808267,0.0
sm,-0.5215726156375717,0.10245727004941307,0.009517473651375312,-0.08845131655769399,0.1761492233055032,-0.5540511691013891,-0.2210357981504181,-0.21112145648131772,0.509767474393169,-0.5297519596357132,0.3644701197627524,-0.25772212909484016,-0.5068157827512565,-0.4403743999277117,0.06968111279229834,-0.48522529817861887,1.0040299194366176,-2.243305570904857,-1.2667163895318467,-1.450475232172789,1.2092543814117602,-0.13142170985329882,1.2143773380229588,-0.8428168492960703,1.2678589533936484,0.7869221932031122,0.5251474759381408,0.5898106355581694,-0.2784929009428881,1.164277848287934,0.0
sb,0.333904437300349,0.1474203056430571,2.762449857073286,0.25605809732975365,0.5528544437512856,0.03808205179065261,0.051729952899180295,1.4348759691895048,0.573563173913277,0.8026993191595002,-0.1649445953379926,-0.1760387837416449,-0.05000445788663691,0.07270915278568893,-0.2814719681651391,-0.0816433334235834,-0.15307548468975754,0.46900635233320487,-1.7598133807098166,-0.511853768264787,0.7778063971651782,1.2334390042803318,1.2566026595194584,1.4651650405915964,1.4108828856976863,-1.161372714113535,0.4896526757358332,0.027817953957836226,0.6436672948964065,0.909438221590613,0.0
sv,0.07187775099695058,-0.5987198548866994,-0.35714194010376116,0.21337927462192216,0.22394558811284082,2.7833555770220215,-0.19671776014053965,-0.20905975357043932,-0.25009157713971675,1.0155698592359854,0.1079842672305946,0.14490780180295282,1.071636408157411,0.6532768239967058,-0.9340286940954252,1.4982727496198007,-1.4218159698044137,-0.1603428113779481,0.15844001220675058,0.2747773314946335,0.9444972699114647,-1.0057706481987343,0.8110391305234359,0.4283643410056239,-0.8717383684656776,-1.915545368606592,1.5068336879570923,0.5526267303186155,0.23085866188556808,0.18864506095455216,0.0
tr,-0.2808349803685824,-1.8109153941349803,-0.16207604993170877,-0.6800945801078748,-0.09467455959630526,-1.1384605078546566,0.00029573086990875957,-0.25124556209793286,0.8939669996392544,0.16742903629219805,0.12922732701626602,-0.15971337718270068,-1.9956036764955385,0.0348872077910484,-2.148266293463623,-1.1620221997677755,-0.09918531916997006,-1.0531915613254932,-0.07316948509122431,1.721764888079786,0.07711758338321488,0.6963299532661428,1.523923775427187,-0.1147181850087875,-0.27557460314187776,0.1821785782720386,0.5112672003052952,-0.5192296322533052,-1.4511885243302407,0.5190869730934342,0.0
tm,1.304054471447037,1.3201146150719723,-1.1196217490862181,0.3951947940302669,0.2560721945667234,0.49419824122498196,-0.8725505101320415,2.088644615822244,-0.7822611775819798,0.4676014979050709,-1.64016051813765,-0.3429919659497878,-0.4074752710277222,-0.436166668981247,0.9841422889574332,-0.9433749126061173,1.1273873695486991,-0.31128385367347217,0.6220926828306255,-0.10405575150805456,-2.60671487815561,0.3251520076403511,1.098743428527339,-0.4178717633082749,0.4366673346256849,0.7991216696630438,-0.5122170255889604,1.180204421638323,0.5522388132377283,0.6465267825834639,0.0
tl,-0.7826914596171558,0.6241490612400662,0.17774539348383386,0.15963572346140753,0.0008029016748800549,-1.0031344282835393,3.3922018682171973,0.18116766337134224,0.06002993080235253,0.5414290753159473,-0.3339561058539989,-0.4324351245946084,2.7707160668996873,-0.007412058250107861,0.38832716727228794,-0.8475262733497987,-0.11232114218082469,0.14787897910971473,-0.8748808465821302,-0.04377107789915022,-0.6568184424197953,0.3898646169693486,-0.12795352870118729,0.988239506362582,-1.1225720498843614,0.3882113068166628,-0.914033577086457,0.7835386956454868,-0.7155204551772233,0.23706441336351214,0.0
