Siruta,Judet,Localitate,Total_medici_sanatate
159507,TM,Pesac,3
159516,TM,Bucovat,3
159525,TM,Otelec,0
159614,TL,Municipiul Tulcea,1386
159650,TL,Oras Babadag,52
159687,TL,Oras Isaccea,15
159730,TL,Oras Macin,90
159767,TL,Oras Sulina,8
159785,TL,Baia,8
159847,TL,Beidaud,5
159883,TL,C.a. Rosetti,5
159945,TL,Carcaliu,6
159963,TL,Casimcea,5
160047,TL,Ceatalchioi,1
160092,TL,Ceamurlia De Jos,5
160127,TL,Cerna,10
160172,TL,Chilia Veche,5
160225,TL,Ciucurova,5
160261,TL,Crisan,2
160305,TL,Daeni,6
160323,TL,Dorobantu,3
160387,TL,Frecatei,8
160430,TL,Greci,10
160458,TL,Grindu,4
160476,TL,Hamcearca,4
160528,TL,Horia,12
160564,TL,Izvoarele,5
160617,TL,Jijila,7
160644,TL,Jurilovca,14
160680,TL,Luncavita,10
160724,TL,Mahmudia,8
160779,TL,Maliuc,2
160831,TL,Mihai Bravu,3
160877,TL,Mihail Kogalniceanu,7
160911,TL,Murighiol,8
160993,TL,Nalbant,5
161035,TL,Niculitel,9
161053,TL,Nufaru,7
161106,TL,Ostrov,4
161133,TL,Pardina,1
161151,TL,Peceneaga,4
161179,TL,Sarichioi,18
161231,TL,Sfantu Gheorghe,6
161259,TL,Slava Cercheza,5
161286,TL,Smardan,4
161302,TL,Somova,8
161348,TL,Stejaru,3
161384,TL,Topolog,11
161464,TL,Turcoaia,5
161482,TL,Valea Nucarilor,6
161525,TL,I.c.bratianu,3
161543,TL,Vacareni,2
161552,TL,Bestepe,6
161561,TL,Valea Teilor,3
161794,VS,Municipiul Barlad,924
161829,VS,Municipiul Husi,334
161856,VS,Oras Negresti,41
161945,VS,Municipiul Vaslui,1097
162014,VS,Albesti,3
162069,VS,Alexandru Vlahuta,6
162149,VS,Arsura,4
162194,VS,Banca,9
162327,VS,Bacani,6
162381,VS,Bacesti,28
162452,VS,Balteni,4
162498,VS,Berezeni,7
162559,VS,Blagesti,5
162595,VS,Bogdana,4
162693,VS,Bogdanesti,3
162791,VS,Bogdanita,4
162871,VS,Botesti,3
162924,VS,Bunesti-Averesti,4
163002,VS,Codaesti,25
163057,VS,Coroiesti,3
163137,VS,Costesti,5
163208,VS,Cretesti,4
163253,VS,Danesti,3
163324,VS,Deleni,1
163379,VS,Delesti,3
163486,VS,Dragomiresti,12
163618,VS,Dranceni,14
163681,VS,Duda-Epureni,6
163734,VS,Dumesti,6
163789,VS,Epureni,4
163832,VS,Falciu,19
163903,VS,Gagesti,8
163967,VS,Gherghesti,4
164062,VS,Garceni,0
164133,VS,Grivita,5
164197,VS,Hoceni,4
164277,VS,Dimitrie Cantemir,5
164339,VS,Iana,5
164393,VS,Ivanesti,10
164543,VS,Ivesti,1
164598,VS,Laza,5
164687,VS,Lipovat,11
164749,VS,Lunca Banului,5
164829,VS,Malusteni,4
164892,VS,Miclesti,3
164936,VS,Muntenii De Jos,3
164981,VS,Oras Murgeni,45
165069,VS,Oltenesti,5
165130,VS,Osesti,8
165185,VS,Padureni,6
165274,VS,Perieni,5
165336,VS,Poienesti,6
165416,VS,Pogana,10
165470,VS,Puiesti,12
165611,VS,Pungesti,5
165719,VS,Rebricea,8
165817,VS,Rosiesti,4
165899,VS,Solesti,8
165979,VS,Stanilesti,7
166057,VS,Stefan Cel Mare,7
166137,VS,Suletea,5
166182,VS,Tanacu,4
166235,VS,Tacuta,4
166315,VS,Tatarani,3
166413,VS,Todiresti,6
166529,VS,Tutova,11
166636,VS,Valeni,7
166672,VS,Vetrisoaia,6
166707,VS,Viisoara,5
166770,VS,Vinderei,4
166869,VS,Voinesti,6
166985,VS,Vulturesti,7
167035,VS,Vutcani,15
167071,VS,Zapodeni,5
167179,VS,Zorleni,13
167222,VS,Ibanesti,0
167231,VS,Fruntiseni,4
167240,VS,Rafaila,4
167259,VS,Pogonesti,4
167268,VS,Ciocani,1
167277,VS,Cozmesti,4
167286,VS,Dodesti,1
167295,VS,Feresti,5
167302,VS,Muntenii De Sus,5
167311,VS,Pochidia,1
167320,VS,Puscasi,5
167473,VL,Municipiul Ramnicu Valcea,1815
167641,VL,Oras Baile Govora,35
167696,VL,Oras Baile Olanesti,84
167794,VL,Oras Brezoi,66
167909,VL,Oras Calimanesti,95
167981,VL,Municipiul Dragasani,265
168041,VL,Oras Horezu,71
168130,VL,Oras Ocnele Mari,9
168229,VL,Alunu,8
168309,VL,Amarasti,6
168372,VL,Oras Babeni,20
168452,VL,Oras Balcesti,23
168559,VL,Barbatesti,17
168602,VL,Oras Berbesti,14
168675,VL,Berislavesti,7
168755,VL,Boisoara,0
168791,VL,Budesti,11
168880,VL,Bujoreni,11
168960,VL,Bunesti,3
169039,VL,Cernisoara,9
169119,VL,Caineni,4
169182,VL,Copaceni,4
169253,VL,Costesti,9
169306,VL,Creteni,4
169351,VL,Daesti,7
169404,VL,Danicei,7
169547,VL,Dragoesti,60
169583,VL,Fauresti,4
169681,VL,Fartatesti,8
169896,VL,Francesti,8
169994,VL,Galicea,7
170097,VL,Ghioroiu,3
170168,VL,Glavile,6
170220,VL,Golesti,4
170346,VL,Gradistea,12
170444,VL,Gusoeni,2
170514,VL,Ionesti,13
170612,VL,Lalosu,6
170685,VL,Ladesti,38
170792,VL,Lapusata,5
170872,VL,Livezi,6
170952,VL,Lungesti,8
171021,VL,Malaia,4
171067,VL,Mateesti,5
171101,VL,Maciuca,5
171209,VL,Madulari,4
171272,VL,Maldaresti,4
171325,VL,Mihaesti,102
171469,VL,Milcoiu,4
171539,VL,Muereasca,7
171628,VL,Nicolae Balcescu,12
171806,VL,Olanu,8
171879,VL,Orlesti,6
171931,VL,Otesani,10
171995,VL,Pausesti,8
172082,VL,Pausesti-Maglasi,7
172153,VL,Perisani,4
172279,VL,Pesceana,4
172340,VL,Pietrari,9
172377,VL,Popesti,5
172457,VL,Prundeni,8
172509,VL,Racovita,2
172581,VL,Roesti,6
172698,VL,Rosiile,5
172812,VL,Runcu,8
172894,VL,Salatrucel,8
172947,VL,Scundu,4
172992,VL,Sinesti,17
173061,VL,Slatioara,8
173132,VL,Stanesti,1
173230,VL,Stoenesti,8
173374,VL,Stoilesti,12
173533,VL,Stroesti,9
173597,VL,Sutesti,4
173686,VL,Sirineasa,6
173748,VL,Stefanesti,10
173793,VL,Susani,7
173855,VL,Tetoiu,8
173935,VL,Tomsani,8
174021,VL,Vaideeni,8
174085,VL,Valea Mare,4
174156,VL,Vladesti,7
174218,VL,Voicesti,7
174254,VL,Voineasa,4
174290,VL,Zatreni,10
174496,VL,Titesti,4
174502,VL,Diculesti,3
174511,VL,Lacusteni,0
174520,VL,Mitrofani,3
174744,VN,Municipiul Focsani,1716
174780,VN,Campineanca,8
174824,VN,Golesti,6
174860,VN,Municipiul Adjud,222
174922,VN,Oras Marasesti,28
175019,VN,Oras Odobesti,28
175055,VN,Oras Panciu,102
175126,VN,Andreiasu De Jos,2
175206,VN,Balesti,3
175224,VN,Barsesti,4
175260,VN,Boghesti,0
175368,VN,Bolotesti,7
175439,VN,Bordesti,3
175466,VN,Brosteni,5
175509,VN,Chiojdeni,3
175590,VN,Ciorasti,7
175670,VN,Campuri,6
175732,VN,Carligele,7
175787,VN,Corbita,3
175885,VN,Cotesti,9
175938,VN,Dumbraveni,76
175983,VN,Dumitresti,12
176150,VN,Fitionesti,7
176212,VN,Garoafa,10
176301,VN,Gugesti,11
176338,VN,Gura Calitei,4
176445,VN,Homocea,15
176506,VN,Jaristea,9
176551,VN,Jitia,4
176613,VN,Maicanesti,9
176686,VN,Mera,3
176748,VN,Milcovul,10
176793,VN,Movilita,4
176855,VN,Nanesti,3
176891,VN,Naruja,1
176944,VN,Nereju,6
177003,VN,Nistoresti,3
177101,VN,Paltin,4
177236,VN,Paunesti,9
177263,VN,Poiana Cristei,4
177352,VN,Pufesti,8
177405,VN,Racoasa,4
177469,VN,Reghiu,0
177557,VN,Ruginesti,9
177600,VN,Sihlea,4
177655,VN,Slobozia Bradului,4
177726,VN,Slobozia Ciorasti,0
177762,VN,Soveja,4
177799,VN,Straoane,3
177842,VN,Suraia,10
177879,VN,Tanasoaia,3
177986,VN,Tataranu,7
178046,VN,Tamboesti,7
178117,VN,Tulnici,6
178180,VN,Tifesti,7
178279,VN,Urechesti,4
178313,VN,Valea Sarii,0
178377,VN,Vidra,85
178475,VN,Vintileasca,2
178545,VN,Vizantea-Livezi,3
178607,VN,Vanatori,12
178689,VN,Vartescoiu,6
178750,VN,Vrancioaia,7
178821,VN,Vulturu,17
178885,VN,Negrilesti,0
178894,VN,Ploscuteni,2
178901,VN,Popesti,5
178910,VN,Paulesti,0
178929,VN,Biliesti,4
178938,VN,Gologanu,3
178947,VN,Obrejita,3
178956,VN,Rastoaca,4
178965,VN,Spulber,0
179132,B,Municipiul Bucuresti,35082
179221,IF,Oras Bragadiru,85
179249,IF,Chiajna,63
179285,IF,Oras Chitila,31
179310,IF,Dobroesti,16
179347,IF,Glina,12
179383,IF,Jilava,54
179409,IF,Oras Magurele,44
179463,IF,Mogosoaia,12
179481,IF,Oras Otopeni,336
179515,IF,Oras Pantelimon,55
179533,IF,Oras Popesti Leordeni,93
179551,IF,Oras Voluntari,211
179588,IF,Copaceni,9
179604,MM,Poienile Izei,1
179613,MM,Sieu,4
179622,MM,Grosii Tiblesului,4
179631,SJ,Treznea,0
179640,DB,Vulcana-Pandele,2
179659,BN,Negrilesti,3
179677,SM,Camin,0
179686,BN,Dumitrita,6
179695,SJ,Simisna,4
179702,IL,Traian,8
179711,DB,Vladeni,4
179720,BN,Poiana Ilvei,1
179739,GR,Malu,5
179748,GR,Cosoba,2
179757,GR,Herasti,4
179766,GR,Isvoarele,4
179775,GR,Sabareni,8
179784,IL,Boranesti,0
179793,IL,Buesti,1
179800,IL,Maia,6
179819,IL,Ograda,5
179828,IL,Rosiori,4
179837,MM,Coas,3
179846,MM,Coltau,11
179855,MM,Gardani,1
179864,MM,Oncesti,1
179873,SM,Agris,0
179882,SM,Ciumesti,0
179891,DB,Raciu,5
179908,DB,Pietrari,4
179917,DB,Rau Alb,4
179926,DB,Rascaeti,2
179935,DB,Persinari,3
179944,BN,Runcu Salvei,0
179953,BN,Ciceu- Mihaiesti,0
179962,CL,Galbinasi,0
179971,IL,Colelia,0
179980,IL,Marculesti,3
179999,IL,Moldoveni,4
180000,IL,Platonesti,6
180019,IL,Sarateni,1
180028,SM,Porumbesti,0
180037,SJ,Boghis,9
180046,IL,Gura Ialomitei,2
180055,CL,Crivat,2
180064,IL,Barbulesti,1
180091,SM,Racsa,0
