Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
158010,Ortisoara,TM,8,0,11,0,3,11
119331,Oras Sangeorgiu De Padure,MS,3,5,4,19,3,11
115959,Ceuasu De Campie,MS,8,0,21,0,3,11
47453,Merei,BZ,5,2,19,13,4,11
41667,Prejmer,BV,6,0,8,0,5,11
102035,Clinceni,IF,7,1,8,1,3,11
109826,Simian,MH,5,1,10,11,5,11
83525,Oras Cristuru Secuiesc,HR,4,3,21,112,4,11
130552,Barcanesti,PH,5,0,8,0,5,10
45101,Berca,BZ,5,0,23,3,5,10
10872,Ghioroc,AR,5,2,10,10,3,10
15741,Corbeni,AG,5,0,7,0,5,10
105160,Snagov,IF,5,1,4,1,4,10
71956,Daneti,DJ,6,0,13,1,4,10
61372,Cogealac,CT,7,0,16,1,3,10
8096,Oras Teius,AB,5,0,19,0,5,10
137069,Bixad,SM,3,4,6,11,3,10
117827,Oras Iernut,MS,5,0,7,3,5,10
93851,Lehliu,CL,1,8,2,28,1,10
16454,Domnesti,AG,7,1,10,17,2,10
131336,Oras Comarnic,PH,5,0,12,0,5,10
92177,Zam,HD,1,8,2,50,1,10
158564,Sacalaz,TM,6,0,8,0,4,10
31011,Salard,BH,5,0,6,0,5,10
43331,Oras Ianca,BR,5,0,3,8,5,10
133508,Gorgota,PH,5,0,9,0,5,10
158653,Sanandrei,TM,6,0,11,0,4,10
143520,Rasinari,SB,5,0,5,0,5,10
97919,Miroslava,IS,6,0,8,0,4,10
85341,Praid,HR,5,0,14,0,5,10
101378,Bucsani,GR,1,8,2,9,1,10
168372,Oras Babeni,VL,5,0,10,0,5,10
4366,Galda De Jos,AB,4,2,7,37,4,10
4927,Ighiu,AB,5,0,8,1,5,10
49545,Smeeni,BZ,2,6,6,27,2,10
9654,Oras Pancota,AR,6,0,11,1,4,10
76692,Matca,GL,5,0,7,1,5,10
135949,Valea Calugareasca,PH,5,0,10,0,5,10
151095,Oras Vicovu De Sus,SV,5,0,15,0,5,10
133161,Filipestii De Padure,PH,5,0,17,0,5,10
60721,Tuzla,CT,5,0,11,0,5,10
98685,Raducaneni,IS,6,1,6,21,3,10
168452,Oras Balcesti,VL,5,1,12,2,3,9
80846,Matasari,GJ,4,1,4,4,4,9
37280,Oras Flamanzi,BT,4,1,13,14,4,9
159213,Varias,TM,5,0,7,4,4,9
31716,Tileagd,BH,4,1,4,1,4,9
65431,Razvad,DB,6,0,10,0,3,9
74581,Valea Stanciului,DJ,5,0,11,1,4,9
143806,Oras Dumbraveni,SB,5,0,15,0,4,9
140627,Crasna,SJ,3,3,13,16,3,9
66009,Branesti,DB,5,0,10,0,4,9
73102,Melinesti,DJ,3,3,8,22,3,9
158181,Pischia,TM,6,0,7,0,3,9
62191,Mihail Kogalniceanu,CT,5,0,21,0,4,9
161856,Oras Negresti,VS,5,0,18,14,4,9
87139,Oras Uricani,HD,5,0,12,15,4,9
51573,Bozovici,CS,6,2,10,0,1,9
105936,Vidra,IF,5,1,11,1,3,9
101298,Branesti,IF,4,1,4,1,4,9
128659,Schitu,OT,2,5,2,41,2,9
128105,Oras Piatra-Olt,OT,4,1,4,4,4,9
131274,Poiana Campina,PH,7,0,33,0,2,9
135164,Scorteni,PH,3,3,5,14,3,9
103513,Gruiu,IF,4,1,6,1,4,9
179310,Dobroesti,IF,4,1,6,1,4,9
130847,Paulesti,PH,6,0,22,0,3,9
104243,Moara Vlasiei,IF,4,1,5,1,4,9
12876,Zimandu Nou,AR,5,0,5,0,4,9
18778,Stalpeni,AG,5,0,5,0,4,9
22166,Oras Darmanesti,BC,4,1,9,32,4,9
117177,Gornesti,MS,4,1,6,5,4,9
102570,Domnesti,IF,4,2,6,4,3,9
12242,Sicula,AR,5,0,4,2,4,9
130678,Blejoi,PH,4,0,15,0,4,8
69526,Voinesti,DB,3,2,12,7,3,8
147937,Darmanesti,SV,4,0,5,0,4,8
105623,Ulmi,GR,4,0,13,0,4,8
147786,Cornu Luncii,SV,4,0,8,67,4,8
70879,Oras Bechet,DJ,2,4,14,21,2,8
40928,Dumbravita,BV,4,0,4,0,4,8
68182,Moroeni,DB,3,2,4,32,3,8
163002,Codaesti,VS,3,2,4,13,3,8
31789,Tinca,BH,4,0,17,47,4,8
67407,Dragomiresti,DB,4,0,9,0,4,8
42003,Tarlungeni,BV,4,0,6,15,4,8
66857,Corbii Mari,DB,4,0,9,0,4,8
106461,Oras Tautii-Magheraus,MM,4,0,13,0,4,8
12643,Vinga,AR,4,0,5,0,4,8
84175,Corund,HR,4,0,10,0,4,8
12509,Tarnova,AR,4,0,5,0,4,8
108106,Farcasa,MM,4,0,11,0,4,8
40633,Bran,BV,5,0,5,0,3,8
32599,Oras Sangeorz-Bai,BN,4,0,37,2,4,8
14940,Buzoesti,AG,4,0,4,6,4,8
130785,Bucov,PH,4,0,11,0,4,8
132404,Brebu,PH,4,0,10,0,4,8
77910,Balesti,GJ,4,0,5,0,4,8
76969,Pechea,GL,4,0,8,7,4,8
76674,Liesti,GL,4,0,8,0,4,8
36060,Oras Saveni,BT,4,1,10,15,3,8
18527,Rucar,AG,5,0,6,9,3,8
167641,Oras Baile Govora,VL,6,0,27,0,2,8
146370,Oras Salcea,SV,4,0,5,0,4,8
74554,Urzicuta,DJ,4,0,6,2,4,8
74509,Tuglui,DJ,4,0,9,0,4,8
104136,Oras Mihailesti,GR,4,0,11,0,4,8
176445,Homocea,VN,4,0,7,0,4,8
73031,Maglavit,DJ,4,0,9,1,4,8
72926,Leu,DJ,4,0,9,1,4,8
72150,Dragotesti,DJ,4,0,7,0,4,8
16908,Leresti,AG,4,0,7,0,4,8
71055,Bradesti,DJ,4,0,9,1,4,8
104387,Niculesti,DB,4,0,3,7,4,8
15901,Cosesti,AG,5,0,6,0,3,8
133018,Draganesti,PH,4,0,5,0,4,8
65609,Oras Fieni,DB,4,0,12,0,4,8
84825,Lupeni,HR,4,0,8,0,4,8
84344,Ditrau,HR,3,2,9,4,3,8
23715,Nicolae Balcescu,BC,4,0,8,0,4,8
95239,Rediu,IS,4,0,2,0,4,8
47373,Maracineni,BZ,4,0,8,0,4,8
29092,Diosig,BH,5,0,6,2,3,8
