Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
33603,BN,Lunca Ilvei,4,0
33621,BN,Maieru,8,4
33658,BN,Matei,1,0
33729,BN,Magura Ilvei,2,0
33765,BN,Mariselu,1,1
33845,BN,Micestii De Campie,1,0
33881,BN,Milas,1,0
33952,BN,Monor,0,0
33989,BN,Nimigea,6,1
34075,BN,Nuseni,4,2
34155,BN,Parva,2,0
34173,BN,Petru Rares,6,1
34235,BN,Prundu Bargaului,16,6
34262,BN,Rebra,2,0
34280,BN,Rebrisoara,5,0
34333,BN,Rodna,6,2
34360,BN,Romuli,1,0
34397,BN,Salva,3,0
34422,BN,Silivasu De Campie,1,0
34477,BN,Sanmihaiu De Campie,2,0
34547,BN,Spermezeu,1,1
34618,BN,Sant,4,1
34645,BN,Sieu,4,0
34690,BN,Sieu-Magherus,5,0
34770,BN,Sieu-Odorhei,2,1
34850,BN,Sieut,4,0
34903,BN,Sintereag,3,0
34985,BN,Teaca,9,10
35054,BN,Telciu,4,0
35090,BN,Tiha Bargaului,6,0
35152,BN,Tarlisua,2,1
35269,BN,Uriu,3,8
35312,BN,Urmenis,2,0
35429,BN,Zagra,3,0
35731,BT,Municipiul Botosani,423,1277
35759,BT,Curtesti,6,1
35839,BT,Rachiti,3,1
35884,BT,Stauceni,2,0
35946,BT,Oras Darabani,26,4
36006,BT,Municipiul Dorohoi,42,189
36060,BT,Oras Saveni,10,15
36131,BT,Albesti,10,1
36202,BT,Avrameni,6,1
36300,BT,Baluseni,3,2
36373,BT,Braesti,7,1
36426,BT,Broscauti,2,1
36453,BT,Oras Bucecea,8,4
36499,BT,Calarasi,5,0
36532,BT,Concesti,2,1
36569,BT,Copalau,5,1
36649,BT,Cordareni,4,1
36676,BT,Corlateni,4,1
36756,BT,Corni,8,0
36809,BT,Cotusca,4,3
36907,BT,Cristesti,6,2
36952,BT,Cristinesti,3,1
37011,BT,Dersca,4,8
37057,BT,Dangeni,2,0
37100,BT,Dobarceni,3,1
37173,BT,Draguseni,3,13
37217,BT,Durnesti,6,0
37280,BT,Oras Flamanzi,13,14
37324,BT,Frumusica,7,0
37397,BT,George Enescu,2,0
37459,BT,Gorbanesti,3,2
37547,BT,Havarna,11,0
37618,BT,Hanesti,2,1
