Siruta,Localitate,ActivitateDominanta
33248,Feldru,Lemnului
106979,Oras Viseu De Sus,Lemnului
147937,Darmanesti,Alimentara
147937,Darmanesti,Alimentara
147937,Darmanesti,Alimentara
57831,Geaca,Alimentara
123371,Pastraveni,Alimentara
49643,Tisau,Alimentara
25068,Sascut,Lemnului
115183,Apold,Lemnului
74224,Silistea Crucii,Alimentara
164339,Iana,Alimentara
156151,Brestovat,Alimentara
107001,Ardusat,Alimentara
33275,Galatii Bistritei,Alimentara
131577,Oras Slanic,Energetica
41471,Moieciu,Mobila
82430,Oras Tismana,Lemnului
74242,Sopot,Alimentara
98827,Schitu Duca,Alimentara
16908,Leresti,Lemnului
66081,Oras Titu,Textila
123424,Petricani,Textila
139811,Oras Jibou,Textila
148006,Oras Dolhasca,Alimentara
115236,Atintis,Alimentara
90663,Rapoltu Mare,Lemnului
107047,Arinis,ChimicaFarmaceutica
131620,Oras Urlati,ChimicaFarmaceutica
172581,Roesti,Lemnului
164393,Ivanesti,Alimentara
57902,Gilau,Alimentara
16944,Lunca Corbului,ConstructiiMasini
156213,Carpinis,Alimentara
33337,Ilva Mare,Lemnului
25148,Sanduleni,Mobila
41541,Ormenis,Alimentara
107083,Asuaju De Sus,Mobila
74322,Teasc,Energetica
33364,Ilva Mica,Lemnului
123479,Piatra Soimului,Lemnului
57948,Garbau,Lemnului
156259,Cenad,Alimentara
90725,Rachitova,Alimentara
98916,Scanteia,Lemnului
98916,Scanteia,Lemnului
33382,Josenii Bargaului,Lemnului
49769,Topliceni,Textila
66152,Branistea,Alimentara
66152,Branistea,Alimentara
66152,Branistea,Alimentara
66152,Branistea,Alimentara
41578,Parau,Lemnului
115307,Bahnea,Alimentara
139884,Oras Simleu Silvaniei,Textila
107118,Baita De Sub Codru,ChimicaFarmaceutica
74359,Terpezita,Alimentara
156277,Cenei,Energetica
8826,Vintu De Jos,Lemnului
82555,Turburea,Alimentara
123521,Pipirig,Lemnului
148097,Dolhesti,Alimentara
148097,Dolhesti,Alimentara
25228,Saucesti,Mobila
107154,Baiut,Lemnului
41621,Poiana Marului,Alimentara
156311,Cheveresu Mare,Alimentara
66198,Baleni,Mobila
66198,Baleni,Mobila
58008,Iara,Lemnului
172698,Rosiile,Alimentara
17049,Malureni,Lemnului
33435,Lechinta,Mobila
148131,Dorna-Arini,Lemnului
139937,Agrij,Alimentara
74411,Teslui,Alimentara
74411,Teslui,Alimentara
66223,Barbuletu,Alimentara
90805,Ribita,Alimentara
98998,Scobinti,Textila
107190,Basesti,Alimentara
82617,Oras Turceni,Alimentara
49849,Tintesti,Alimentara
115389,Band,Lemnului
164543,Ivesti,Alimentara
164543,Ivesti,Alimentara
41667,Prejmer,ConstructiiMasini
156357,Oras Ciacova,Alimentara
25291,Scorteni,Lemnului
25291,Scorteni,Lemnului
139982,Almasu,Alimentara
17101,Merisani,Mobila
123601,Pangarati,Energetica
107234,Bicaz,Alimentara
41701,Racos,Alimentara
49894,Ulmeni,ConstructiiMasini
49894,Ulmeni,ConstructiiMasini
148202,Dorna Candrenilor,Alimentara
33514,Lesu,Lemnului
131817,Oras Valenii De Munte,Alimentara
99058,Sinesti,Alimentara
99058,Sinesti,Alimentara
99058,Sinesti,Alimentara
164598,Laza,Alimentara
82680,Tantareni,Alimentara
131835,Gura Vitioarei,Lemnului
90878,Rau De Mori,Lemnului
33541,Livezile,ConstructiiMasini
33541,Livezile,ConstructiiMasini
33541,Livezile,ConstructiiMasini
33541,Livezile,ConstructiiMasini
107270,Bistra,Lemnului
107270,Bistra,Lemnului
41738,Recea,Mobila
41738,Recea,Mobila
41738,Recea,Mobila
74509,Tuglui,Mobila
172812,Runcu,Alimentara
172812,Runcu,Alimentara
172812,Runcu,Alimentara
25362,Secuieni,Alimentara
25362,Secuieni,Alimentara
25362,Secuieni,Alimentara
156437,Comlosu Mare,Alimentara
66330,Bezdead,Lemnului
123674,Podoleni,Alimentara
99101,Siretel,Mobila
58142,Iclod,Alimentara
49956,Vadu Pasii,Textila
74536,Unirea,Alimentara
74536,Unirea,Alimentara
74536,Unirea,Alimentara
74536,Unirea,Alimentara
82733,Urdari,Lemnului
107314,Barsana,Alimentara
140084,Babeni,Alimentara
17209,Micesti,ConstructiiMasini
131899,Adunati,Textila
9019,Cut,Mobila
74554,Urzicuta,Alimentara
156473,Costeiu,Alimentara
123709,Poienari,Alimentara
115520,Batos,Lemnului
9026,Bucerdea Granoasa,Alimentara
33603,Lunca Ilvei,Lemnului
148293,Dornesti,Alimentara
164687,Lipovat,Alimentara
74581,Valea Stanciului,Alimentara
33621,Maieru,Lemnului
107350,Bocicoiu Mare,Alimentara
41818,Sercaia,Alimentara
82779,Vagiulesti,Alimentara
