CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
BWA,0.3278494027953168,0.04587278809779666,0.0866675964858797,0.3026705091857774,0.050732382040881555,0.1360839137819239,6.341469217030484e-05,0.0006073563496738149,0.015370875405077266,0.002980789128643262,0.01407377599766641,0.000989030608063834,0.0054756821284905575,0.00033390754274533954,0.002609075680306258,0.0002868252612847691,0.001659993505054876,0.0008952550121494011,0.004243364083483493,0.0001657042372132643,0.00020945214591993672,0.00014112688391695847,1.7778950564313817e-05
CAF,0.508467309795946,0.05705054827375481,0.02725908548116462,0.0026694152234254223,0.12102840642420382,0.007750362180425159,9.692101856506095e-06,0.15018033432354644,0.016330782464481837,0.018623265492395458,0.0011670485592533441,0.06366179288832786,0.00024855891605052397,0.017038393302481653,0.005774744302395847,0.0003804248050056146,0.0011418763130629304,4.1444596063007944e-05,0.0004916805920910483,0.00013532018572989116,0.000383539310671281,0.00015527617083537962,1.0698296831335244e-05
CAN,0.5603850764718291,0.0637458906868219,1.4394901022863387e-05,0.00043412544955065364,9.859836353069984e-05,0.0697980365538198,0.011327793161292683,0.09697071202713174,0.00831171644298501,0.0054960885118158255,0.06265386991046046,0.008097185754436782,0.003729979354188973,0.04942351862042182,0.0024241793369492014,0.047376142699122006,0.008141653640532901,0.0010383942324173484,7.4938754776248725e-06,3.033781575308885e-05,1.0488133882059312e-06,4.8695117757079025e-06,0.0004888938652756168
CHE,0.3619696971046447,0.37607183546637424,0.05112328442585388,0.0045566203214208725,0.012195749330684917,0.004237998293044388,0.05138319359931651,0.00017842611498355832,5.2238624196509364e-05,2.3156375060617887e-06,0.017580695996128895,0.09034091283003516,3.975347171815549e-05,0.009790491746785925,0.00024224599266034938,0.00027645934908666024,0.016925062396403772,0.0004905437886732749,0.0016673913685537431,5.340466898311486e-05,0.0007749176946844571,2.3440802368162166e-06,4.441769802401662e-05
CHI,0.42981082675518056,0.3262079257586942,0.06462111068867832,0.01554309823153706,0.017374209335264647,0.0009380714608241953,0.006102840855074767,4.02999838077303e-07,0.004281278960160201,0.06189471528043827,0.003575649925288352,0.025678233951160038,0.0002542315081709818,0.0009162880544933029,0.0041449213530129194,0.002041033210437235,9.065679665795977e-06,0.013601646816428573,0.0003923773908637762,0.016079741791544498,0.00034123772377987326,0.0002177062101427682,0.0059733860593216195
CHL,0.03247883378402654,0.08739495880177879,0.1571245763405457,0.12185469148699275,0.07339789738179986,0.06495847711742195,0.01625408208462855,0.09751985816126145,0.05039190597460256,0.0019870377662969973,0.20380223116124319,0.0008533131790080026,0.0066441703502270934,0.034158193070623226,0.00921427792576303,0.006438548704071231,0.004833577045110877,0.002626222027456116,0.02034503495086875,0.0029887511754486725,0.003834668913171601,0.0008364529265262487,6.223967112668852e-05
CHN,0.09714692272024608,0.13962173650014573,0.019953431574781723,0.16298047114016753,0.1446564247717098,0.026149510629863506,0.02093818105340718,0.022153352384332536,0.19727279922947974,0.016634718270671707,0.044123648247989644,0.06613554678158344,0.01330419861482403,0.0047820572303056905,0.003317072522251658,0.0005743009521252768,0.01574027746526867,0.0001289247980833183,0.004062570521285914,0.00018135937697337843,1.0506805044735303e-06,0.00014135999738693113,8.453661217436955e-08
CMR,0.6332603819751909,0.07756625418510382,0.001600537851582405,0.08962381790374592,0.14729761901787441,0.017447602437116284,0.000294964491811277,0.0037700643147746747,1.0874948935977321e-07,0.007112651617172678,2.588272214420577e-05,0.00011664193402578016,0.0009620653960044762,0.002387650629093446,0.0005118778606004801,0.0026346772625208395,0.008598763506472996,0.0013316314748017728,0.0014637244209670052,2.892842844313729e-06,0.003208386075260462,0.0007817679493710676,3.5382031510258986e-08
COD,0.5738388682025704,0.08131736202520362,0.033371717337876076,0.1398105066542135,0.05587063573941741,0.00923318437046913,1.731748596442622e-05,0.018069502772343458,0.023193891833658786,0.011960141364837815,0.0002718916352465951,0.00013741362329618132,0.007646052637424926,0.0106139979246154,0.010694820567292776,0.002688805398867828,0.013979075625312809,0.0035049849819256415,0.0012799588174179366,0.0006323003178880672,0.0012553867994973384,0.0006106721246989769,1.5117599608144244e-06
COG,0.6074633377334716,0.0894498533129665,2.7808151892268444e-06,0.0053681762255327736,0.138616661848343,0.03512542559015828,0.0011790833533035909,1.4335413025655732e-05,0.028303805120541984,0.017750897950020304,0.013147225418421369,0.016396060469162657,0.008272505677534148,0.007089739497116507,0.012683624741720377,0.009090970824699132,0.00934006451014837,0.00028045626626897215,0.00019961419789419593,0.00021878884894426068,7.337296788901425e-07,5.074258873751285e-06,7.841969848392849e-07
COL,0.24314296643270628,0.007280379878334829,0.10846946326618578,0.18610562480502185,0.23160554212409332,0.053789170189124845,2.86674311062604e-05,0.10670748680974931,0.0060366447391992225,0.0030780427831897587,0.04346549443242485,0.0004195449882270985,7.514214368051789e-06,0.004656941699900401,0.0011056698039047263,2.9572741435865608e-08,0.0002063294401162607,0.00010556357254739385,0.0008435495085587743,0.002366595751174676,0.0003109210737684387,0.00024683028931728657,2.1027194239329455e-05
