Siruta,Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie,Populatie,Judet
66857,Corbii Mari,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8067,db
50479,Ziduri,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4427,bz
124206,Sabaoani,0.0,0.0,0.0,0.0,0.0,0.0,150.0,11902,nt
132404,Brebu,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7156,ph
9538,Oras Ineu,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9581,ar
1348,Municipiul Blaj,113.0,0.0,0.0,0.0,64.0,4.0,135.0,20994,ab
140627,Crasna,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6722,sj
75098,Municipiul Galati,164.0,0.0,0.0,573.0,183.0,52.0,918.0,304610,gl
107868,Coroieni,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2398,mm
9574,Oras Lipova,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11396,ar
75114,Sendreni,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4527,gl
83320,Municipiul Miercurea Ciuc,60.0,0.0,2.0,0.0,136.0,1.0,397.0,42130,hr
148872,Galanesti,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2851,sv
75150,Vanatori,163.0,0.0,0.0,0.0,0.0,2.0,113.0,5630,gl
107920,Cupseni,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3489,mm
9627,Oras Nadlac,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8002,ar
132510,Ceptura,53.0,0.0,42.0,0.0,0.0,14.0,0.0,4646,ph
157086,Oras Gataia,285.0,0.0,0.0,0.0,0.0,0.0,14.0,6496,tm
1455,Oras Campeni,5.0,0.0,0.0,0.0,0.0,0.0,57.0,7629,ab
9654,Oras Pancota,0.0,2.0,0.0,0.0,4.0,0.0,209.0,8126,ar
148916,Gramesti,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2992,sv
17851,Pietrosani,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5670,ag
75203,Municipiul Tecuci,37.0,0.0,1.0,3.0,16.0,12.0,246.0,45487,gl
107975,Desesti,0.0,0.0,2.0,0.0,0.0,0.0,14.0,2371,mm
67014,Cornesti,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6266,db
75221,Draganesti,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6608,gl
34262,Rebra,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2769,bn
9690,Oras Sebis,2.0,0.0,0.0,0.0,0.0,0.0,23.0,6445,ar
42464,Sambata De Sus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1527,bv
140770,Cristolt,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1254,sj
83428,Oras Baile Tusnad,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1684,hr
34280,Rebrisoara,0.0,0.0,0.0,0.0,30.0,0.0,0.0,4968,bn
42480,Dragus,0.0,0.0,16.0,0.0,6.0,0.0,0.0,1102,bv
108017,Oras Dragomiresti,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3262,mm
124411,Stefan Cel Mare,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3127,nt
75258,Munteni,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7787,gl
108035,Dumbravita,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4331,mm
26118,Vultureni,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2101,bc
83464,Oras Balan,37.0,0.0,0.0,0.0,0.0,0.0,54.0,7931,hr
9743,Almas,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2625,ar
34333,Rodna,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6449,bn
83491,Oras Borsec,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2772,hr
58918,Petrestii De Jos,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1541,cj
34360,Romuli,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1798,bn
149049,Horodniceni,0.0,0.0,0.0,0.0,49.0,0.0,15.0,3686,sv
157246,Giarmata,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7222,tm
83525,Oras Cristuru Secuiesc,41.0,0.0,0.0,0.0,34.0,0.0,13.0,10801,hr
9798,Apateu,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3431,ar
75338,Oras Beresti,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3404,gl
108106,Farcasa,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3920,mm
132681,Ciorani,0.0,0.0,0.0,0.0,5.0,2.0,0.0,6751,ph
157273,Giera,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1459,tm
50790,Municipiul Resita,525.0,0.0,3.0,0.0,0.0,0.0,358.0,88613,cs
9832,Archis,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1545,ar
83561,Municipiul Gheorgheni,162.0,0.0,1.0,0.0,0.0,0.0,143.0,20031,hr
18028,Poiana Lacului,0.0,0.0,0.0,0.0,0.0,8.0,128.0,6515,ag
58990,Ploscos,0.0,0.0,0.0,0.0,0.0,0.0,4.0,690,cj
132716,Cocorastii Mislii,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3379,ph
149101,Horodnic De Jos,176.0,0.0,0.0,0.0,25.0,0.0,0.0,2458,sv
108151,Giulesti,0.0,0.0,0.0,0.0,12.0,0.0,18.0,3212,mm
99968,Valea Seaca,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6176,is
149138,Iacobeni,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2153,sv
91795,Vata De Jos,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3626,hd
140958,Dobrin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1677,sj
1696,Oras Cugir,1156.0,0.0,0.0,0.0,0.0,0.0,13.0,26768,ab
59041,Poieni,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5052,cj
116395,Cucerdea,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1414,ms
108204,Ieud,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4396,mm
26289,Zemes,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4927,bc
83632,Municipiul Toplita,15.0,0.0,0.0,0.0,0.0,0.0,21.0,16042,hr
173748,Stefanesti,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3266,vl
67256,Darmanesti,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4888,db
42682,Municipiul Braila,216.0,0.0,80.0,0.0,88.0,60.0,876.0,210699,br
132805,Cornu,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4288,ph
50889,Oras Anina,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9343,cs
26320,Sarata,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2225,bc
42708,Chiscani,0.0,0.0,0.0,0.0,0.0,4.0,77.0,5793,br
124634,Tamaseni,0.0,0.0,0.0,0.0,0.0,0.0,52.0,9928,nt
173793,Susani,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3222,vl
149227,Oras Liteni,0.0,0.0,0.0,0.0,2.0,6.0,0.0,10359,sv
124661,Timisesti,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4104,nt
100086,Vanatori,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4705,is
75515,Barcea,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6462,gl
67327,Dragodana,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6703,db
42753,Oras Faurei,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4076,br
1794,Oras Ocna Mures,2.0,0.0,0.0,0.0,0.0,53.0,61.0,14641,ab
10006,Birchis,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1889,ar
50969,Oras Bocsa,155.0,0.0,0.0,0.0,0.0,0.0,20.0,19160,cs
83749,Oras Vlahita,0.0,0.0,0.0,0.0,3.0,0.0,19.0,7649,hr
149290,Marginea,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11061,sv
157497,Liebling,65.0,0.0,0.0,0.0,0.0,14.0,0.0,4075,tm
108348,Moisei,0.0,0.0,0.0,1.0,0.0,0.0,17.0,9295,mm
51010,Municipiul Caransebes,7.0,0.0,0.0,0.0,0.0,0.0,54.0,30527,cs
149316,Malini,0.0,0.0,0.0,0.0,9.0,0.0,1.0,7842,sv
83785,Atid,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3075,hr
141134,Galgau,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2426,sj
1874,Municipiul Sebes,2.0,0.0,3.0,0.0,470.0,0.0,76.0,32552,ab
157530,Lovrin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4230,tm
173935,Tomsani,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3733,vl
51056,Oras Moldova Noua,8.0,0.0,0.0,0.0,0.0,0.0,27.0,13560,cs
108400,Ocna Sugatag,17.0,0.0,0.0,0.0,8.0,0.0,0.0,4186,mm
34690,Sieu-Magherus,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4537,bn
83847,Avramesti,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2785,hr
