SIRUTA,Krug_CI_2008,Krug_CI_2009,Krug_CI_2010,Krug_CI_2011,Krug_CI_2012,Krug_CI_2013,Krug_CI_2014,Krug_CI_2015,Krug_CI_2016,Krug_CI_2017,Krug_CI_2018,Krug_CI_2019,Krug_CI_2020,Krug_CI_2021,Krug_CI_2022,Krug_CI_2023
27631,4.6314902252012525e-06,0.00019223427793655051,0.00018458464482673048,0.00023893963639851635,0.00031003694224718953,0.00036147027315193696,0.00044020535526564643,0.0005544707418485018,0.0006005768476819877,0.0006047062203799507,0.0005778818889273609,0.0007204710099233646,0.0004388472105297463,1.836423410669536e-05,1.763040008887233e-05,
28415,8.977502272359225e-06,2.298377022861245e-05,,1.004947878242486e-05,5.793385588773946e-06,1.880643035049594e-05,8.513982522085197e-06,2.0981080179013983e-05,1.3175846606787476e-05,1.1426629487358068e-05,2.0279011716356106e-05,1.2497802433768415e-05,1.3863380562460159e-05,9.575178114967078e-07,,
28763,9.197599059968393e-06,2.0729163398013894e-05,4.244804022681887e-05,6.920437162510077e-05,6.872101494908409e-05,8.286234497132753e-05,9.442445707893226e-05,9.616583305282925e-05,9.583382296149461e-05,0.0001509657571482205,0.00016800425462922808,0.00018428795710628463,,0.0,7.74225248579409e-06,1.7973765313129827e-05
29341,8.76583516087521e-07,1.7898767822256505e-06,,,1.1581113717936787e-05,1.4655871827726354e-06,0.0,0.0,,,,,,,,
30149,4.871016388269615e-05,7.934830051666303e-05,,,,1.467021952128417e-05,1.8296250734339045e-05,2.109128971738344e-05,2.3753002451795394e-05,1.9172027232722176e-05,0.0,2.562288512397822e-07,4.427825156995183e-06,0.0005339522600878014,0.0006024054026684856,0.0005832164710769288
30274,0.0,2.7156221128736696e-06,1.883430881770093e-05,1.4643898796708197e-05,2.010110094525735e-05,1.0450129868195938e-05,2.1270419508952622e-05,5.618865814688733e-06,0.00011541270233801888,7.2194154450026875e-06,0.0006797208695135672,0.0009828435884437488,0.0015725416190340376,0.0018036731473400282,0.003616018354069392,0.0019193615981491223
31789,1.2120743457757613e-05,9.622781337891312e-06,8.725167415653906e-05,0.00014147117580527106,7.931582038365117e-05,5.057239368269031e-05,6.598699874522537e-05,7.636877715442547e-05,3.401207455118426e-05,4.002491494927345e-06,8.71169660594681e-06,2.0377079823939754e-05,2.252084835059011e-05,2.807909717298666e-05,3.496759389456196e-05,3.288440023591059e-05
32153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.411517779793839e-06,4.437373865789982e-06,1.2472740049256523e-06,5.6395496088679355e-06,1.7289955446773198e-06,1.1716469522321582e-06,0.0
32394,0.010844093783626975,0.006440457276323716,0.005039834860529224,0.005978477440807295,0.004715413822262096,0.0038862614425905556,0.0038888502810299906,0.002780323630958317,0.0013608547380685467,0.001965030844312082,0.003612033739492668,0.0018707316471926105,0.0018637891243180361,0.0022450116374447423,0.0016896177816977664,0.0018470260754744952
32544,7.616582462417507e-05,0.00023292339195956857,0.00020332153353003017,0.0002849673344849669,0.00033573922210144617,0.0002154117715045116,0.0002062889874193067,0.00012088675496779011,0.00015423971440597706,0.0002621025770016074,0.00019895484923004996,0.00022607143609250396,0.00015192526790619074,0.00021761298900950234,0.00024269141942816607,0.00022576959988655562
33603,7.293828667752515e-06,1.6287456003490564e-05,1.3229651535685265e-05,1.0240942161113903e-05,1.1299636733908974e-05,1.557412421542657e-05,1.5330843864320764e-05,0.0,,,,,,,,
34235,2.2700912203179397e-05,4.336541085340813e-06,0.00013954712041138037,0.00026658313443727406,0.0001851961321609916,0.00018041350203724786,0.00015487313558315113,2.602377344013463e-05,1.0538586157810864e-05,,0.0,,,0.0,0.0,
35269,1.5582153516416333e-05,3.707246898835412e-05,3.171102824273267e-05,2.7273471047647954e-05,3.23957158357063e-05,4.475206926113302e-05,4.690805105607272e-05,7.586251725955871e-06,3.7398655730344526e-06,3.97018141662373e-06,7.133885353165251e-06,7.927080085230762e-06,8.324840617108594e-06,8.540157685316284e-06,1.0455548620488408e-05,5.531864791418676e-06
35731,0.004721159157366782,0.0032584759980001784,0.0026257710025524286,0.002529848388147812,0.0027520701991927883,0.0030530322983476263,0.003368253355864457,0.003234404528581308,0.003090246090170093,0.0028259301191667584,0.0027355992814095806,0.0024197476818094868,0.0023916843400480672,0.0022440369969617927,0.001510095420116048,0.0016637430645004055
36809,0.0,,0.0,,,,,,,,,,,,,
40198,0.07157026188422107,0.06419960823807422,0.0992441815758243,0.09289241265042508,0.09674979751840897,0.09110623059542128,0.08378815168811314,0.07808977641266802,0.07348340915957381,0.06827363261118925,0.06332302505952354,0.06144331988697955,0.06091144137140764,0.08363444117739509,0.07503409625096906,0.0629010183422597
40278,0.00023292305383823035,0.0002893230203824742,0.00023447262219539013,5.839198383978533e-05,0.0003583967600559083,0.00031959045932540765,0.00037290685870986195,0.00044636234590053365,0.0004771466458785169,0.0006207940619330073,0.0006835674662694976,0.0007727819715488344,0.0005837728219625114,0.0005552084232835254,0.0005277314658065389,0.0004987680431699937
40367,4.2513015518640326e-05,9.821072990284163e-07,0.0,,,,,2.9592717565922707e-06,8.609683572434533e-05,7.952449195872146e-05,4.128994927819465e-05,,,1.3850213520414142e-06,2.9300277927838853e-06,0.0
40438,0.0009591834452156113,0.0010839666978115928,0.0006538456619258778,0.0005778902492787939,0.001066119315153084,0.0009440211849204332,0.0010380309023392635,0.0011319223572176203,0.0008954365299631184,0.0007934855391695024,0.0006402835603283234,0.0006946602770228213,0.0008443288150442869,0.0005581867542738974,0.0004914502542096593,0.0006393701694423758
40492,0.0001679719880902157,0.00014742151735421032,0.00023454192612487552,0.0002046362133791858,0.0001330436856812909,2.7495614302856274e-05,9.252172984238625e-05,6.333734887524199e-05,0.00023506098366855963,0.0003204402183831351,0.00015505314483961618,7.10373671468133e-05,0.0011409261522976103,0.000982507956209806,0.0010167097366690877,0.0011384226862859953
40606,2.85354816929253e-06,8.490418154976067e-06,9.100765117480775e-07,9.982876728322116e-06,2.1395483620177207e-06,3.765208338988958e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
40820,2.710963281663424e-06,1.1280079399040349e-05,1.7914202555778216e-05,1.8589614804030813e-05,3.845235698015022e-05,4.449304669873718e-05,7.665192927835732e-05,,5.665015746072034e-05,4.572106208724416e-05,3.851430386829129e-05,3.3731086978429104e-05,2.7014134033709078e-05,1.9052464114852903e-05,1.4880098375789108e-05,1.092314069418131e-05
40900,0.0,,,,,,,,,1.941366243371075e-06,5.895183518131288e-06,5.686975331812162e-05,4.8207449178673936e-06,,,0.0
41667,9.809758028139846e-05,0.0001159022393959175,6.567702384235225e-05,0.00010007996218832656,0.00010353643360780994,0.00013619348600408426,0.0001666484383895411,0.00023764320114574064,0.0003366905991739507,0.0004370471068778726,0.00046924242603592575,0.0006013566227032709,0.0006555511501799573,0.000654711646569486,0.0002732088649184115,0.00010003434335639654
42682,0.006481788508931151,0.0062291703473577025,0.0068967760211331545,0.005650387028976435,0.005578057018515695,0.006657913566689899,0.007310725397779566,0.005479219769850136,0.0047470490586192775,0.0033741531677877017,0.0039898644848486145,0.003948597176368657,0.004465244695808243,0.0037931500913950212,0.004444885632690047,0.0041059364770539
42708,4.117824826487225e-05,2.6144011414777844e-05,,,1.063896300893427e-06,0.0,0.0,0.00016722076264137926,2.453183131615992e-05,7.268018639715818e-06,2.4335988900470797e-07,,,,1.5466296727518388e-07,1.1957079577087534e-07
44818,0.012748427524930243,0.01988507797715843,0.018109165279070485,0.020523644581331907,0.020603687027269436,0.025383680080335064,0.0336609215244235,0.03623361990963453,0.03766968573549449,0.03583439104146925,0.03708620501779213,0.03282961887063605,0.032268496132295946,0.029798252419764384,0.03383182253851319,0.03640973140223425
44845,3.662735396750172e-05,0.00039247618253074594,2.6545789113860045e-05,0.0004553658856098205,0.0005591425301682729,0.000978622558130994,0.0007645115222589812,0.0009871468351752449,0.0009840478304756956,0.0010831033236235656,0.001158294133279949,0.000972070126107308,0.001044938861515815,0.0007847955667978342,0.0007075430707006717,0.0007742974106357633
45101,5.316535051576768e-05,4.99142872930622e-05,2.9284568600072824e-05,1.7139302495374554e-05,,,,2.5033829613106755e-06,8.909946263788435e-06,0.0,0.0,2.671986489334854e-06,,1.1681154054488366e-05,,
45753,1.7388365827622823e-05,7.304895388247489e-06,3.4192404878152025e-06,1.0360054676819756e-05,7.5038487023650355e-06,3.1260143461085095e-05,2.661358823851852e-05,5.871910798821605e-05,6.0018615533848264e-05,,,,,,,
46313,2.0384807287329525e-05,0.0,2.8773873451836235e-08,1.1068700532472944e-05,4.4456023730053786e-05,3.322424932179557e-05,5.07203756589042e-05,8.558899452523779e-05,9.606268526203133e-05,9.900507583666791e-05,9.496549031427614e-05,9.559930468362679e-05,0.00012527022714138561,0.00010144304172289863,0.00010224191458118075,0.00011281080436948286
48557,3.969657848448413e-06,,,,,,,,,,,2.028347622172122e-05,,,,
49849,7.355406423837471e-07,0.0008802965764906596,0.0015744127990902268,0.001433649876868262,0.0019415548357959065,0.0035855979682005673,0.005854591442784673,0.007585545438176387,0.006740512421065692,0.006644936729674098,0.008528085178132491,0.00882638946495212,0.007804383471112476,0.007964769574155465,3.801538618355018e-05,4.5028589467654494e-05
50790,0.0013103971628911867,0.0010896443975536216,0.0004495602036352112,0.0009117494506063309,0.004133699718136049,0.003474692334540931,0.003571768005674181,0.0028606571598427414,0.0014321722969972681,0.002016580883859212,0.001672528851677862,0.0012346044490900371,0.0008930829692389852,0.0008875429730782997,0.0008956311258294108,0.0007548843111931529
50889,7.395735228031342e-05,8.078091927658657e-05,7.271889499775363e-05,5.1878373055962424e-05,0.0,3.4595769969289744e-07,,,4.985015896462114e-07,0.0,,,,,,
50923,2.4004633576584107e-05,6.157660331402779e-05,6.180833545121936e-05,7.448318032585883e-05,8.959792259607719e-05,0.00010742024779382224,0.00012954615338077322,,0.00017037938589159327,0.0001567903161358594,0.00013015776386324695,0.00017876918800815978,0.00017446130685734067,0.00012844369221725425,0.00010778669977604596,0.00011743084053486028
50969,0.00035111615959456587,0.00025765271796799845,0.00020878380124399274,0.00023755634678851507,0.00020362071475032447,0.00017169451902903667,0.00016359531290647218,0.00023333750382842987,0.00019777977960615552,0.0002269974467959665,0.0002851821251021981,0.00019221719912244773,0.00019940348995592827,0.0002893792869286435,0.0003062580596392437,0.00021142742603124225
51010,0.0015668004627704595,0.0011439992393827629,0.0017530895100087594,0.002036993047572662,0.0036660598376152594,0.0008075717326673737,0.0011339472728097398,0.001214189043940822,0.0010324193298660875,0.001253870372093635,0.0013631090886372325,0.0011933361502378418,0.0009913857303772474,0.0010206943861026433,0.0009612281459152476,0.0009312860850063789
