Siruta,Localitate,Judet,Numar absolventi,Populatie
103960,Jilavele,IL,28,280
103997,Joita,GR,28,268
104047,Letca Noua,GR,42,368
104083,Luica,CL,15,174
104118,Mihai Bravu,GR,28,224
104136,Oras Mihailesti,GR,172,1179
104181,Manastirea,CL,59,510
104225,Marsa,GR,25,277
104243,Moara Vlasiei,IF,54,533
104270,Movilita,IL,26,257
104323,Nana,CL,16,232
104341,Nicolae Balcescu,CL,14,176
104387,Niculesti,DB,47,443
104421,Nuci,IF,26,248
104485,Ogrezeni,GR,52,427
104519,Oinacu,GR,14,189
104546,Peris,IF,134,933
104582,Petrachioaia,IF,24,325
104635,Plataresti,CL,31,419
104680,Prundu,GR,72,514
104715,Putineiu,GR,18,176
104751,Radovanu,CL,35,231
104788,Rasuceni,GR,28,194
104831,Roata De Jos,GR,87,669
104886,Sarulesti,CL,36,336
104975,Schitu,GR,19,140
105026,Sinesti,IL,17,348
105106,Singureni,GR,29,257
105142,Slobozia Moara,DB,29,133
105160,Snagov,IF,237,1232
105222,Sohatu,CL,23,272
105259,Spantov,CL,44,508
105295,Stanesti,GR,18,174
105348,Stoenesti,GR,24,160
105384,Soldanu,CL,27,364
105419,Stefanestii De Jos,IF,52,575
105455,Tamadau Mare,CL,24,237
105534,Tartasesti,DB,86,778
105570,Tunari,IF,32,334
105605,Ulmeni,CL,34,370
105623,Ulmi,GR,102,757
105712,Valea Argovei,CL,26,213
105776,Valea Dragului,GR,31,229
105794,Valea Macrisului,IL,21,152
105829,Vasilati,CL,45,473
105874,Varasti,GR,44,519
105909,Vedea,GR,18,199
105936,Vidra,IF,101,961
105972,Vanatorii Mici,GR,46,472
106318,Municipiul Baia Mare,MM,5167,25626
106363,Grosi,MM,15,146
106407,Recea,MM,21,202
106461,Oras Tautii-Magheraus,MM,53,548
106559,Municipiul Sighetu Marmatiei,MM,1419,7865
106620,Sarasau,MM,32,182
106648,Vadu Izei,MM,35,231
106684,Oras Baia Sprie,MM,158,1270
106746,Oras Borsa,MM,478,2986
106782,Oras Cavnic,MM,73,479
106817,Oras Targu Lapus,MM,369,2151
106979,Oras Viseu De Sus,MM,515,2634
107001,Ardusat,MM,16,228
107047,Arinis,MM,5,69
107083,Asuaju De Sus,MM,12,103
107118,Baita De Sub Codru,MM,25,197
107154,Baiut,MM,18,131
107190,Basesti,MM,18,119
107234,Bicaz,MM,13,90
107270,Bistra,MM,46,440
107314,Barsana,MM,48,346
107350,Bocicoiu Mare,MM,33,197
107403,Bogdan Voda,MM,38,176
107430,Boiu Mare,MM,11,62
107485,Botiza,MM,32,172
107519,Budesti,MM,22,208
107546,Calinesti,MM,34,243
107582,Cernesti,MM,41,300
107662,Cicarlau,MM,44,342
107715,Campulung La Tisa,MM,30,191
107733,Copalnic-Manastur,MM,75,524
107868,Coroieni,MM,12,226
107920,Cupseni,MM,32,166
107975,Desesti,MM,13,156
108017,Oras Dragomiresti,MM,35,198
108035,Dumbravita,MM,35,248
108106,Farcasa,MM,35,361
108151,Giulesti,MM,27,242
108204,Ieud,MM,36,331
108222,Lapus,MM,29,292
108240,Leordina,MM,20,137
108268,Miresu Mare,MM,43,381
108348,Moisei,MM,93,641
108366,Oarta De Jos,MM,3,58
108400,Ocna Sugatag,MM,52,359
108455,Petrova,MM,48,322
108473,Poienile De Sub Munte,MM,211,1590
108491,Remetea Chioarului,MM,28,239
108552,Remeti,MM,24,223
108598,Repedea,MM,91,620
108614,Rona De Jos,MM,15,118
108632,Rona De Sus,MM,50,285
108669,Rozavlea,MM,63,328
108696,Ruscova,MM,77,494
108712,Satulung,MM,57,632
108794,Sacalaseni,MM,20,178
108874,Sacel,MM,27,222
108892,Oras Salistea De Sus,MM,55,311
108918,Salsig,MM,18,159
108945,Sapanta,MM,33,183
108963,Oras Seini,MM,136,1089
109005,Stramtura,MM,36,235
109041,Suciu De Sus,MM,36,286
109096,Sisesti,MM,53,347
109176,Oras Somcuta Mare,MM,134,1009
109265,Oras Ulmeni,MM,100,1147
109354,Valea Chioarului,MM,13,134
109425,Vima Mica,MM,9,91
109504,Viseu De Jos,MM,36,280
109773,Municipiul Drobeta-Turnu Severin,MH,3486,15159
109826,Simian,MH,214,1117
