Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
12778,Zabrani,AR,38.0,361.0
12812,Zarand,AR,36.0,305.0
12849,Zerind,AR,12.0,122.0
12876,Zimandu Nou,AR,19.0,247.0
12912,Dorobanti,AR,14.0,113.0
12920,Frumuseni,AR,24.0,179.0
12938,Zadareni,AR,14.0,167.0
13169,Municipiul Pitesti,AG,7976.0,35861.0
13187,Bascov,AG,81.0,710.0
13276,Bradu,AG,34.0,257.0
13301,Oras Mioveni,AG,668.0,4071.0
13365,Maracineni,AG,103.0,571.0
13392,Oras Stefanesti,AG,187.0,1426.0
13490,Municipiul Campulung,AG,1459.0,6994.0
13524,Valea Mare Pravat,AG,47.0,360.0
13622,Municipiul Curtea De Arges,AG,1034.0,5498.0
13668,Oras Costesti,AG,382.0,1829.0
13757,Oras Topoloveni,AG,288.0,1844.0
13819,Albestii De Arges,AG,39.0,428.0
13891,Albestii De Muscel,AG,12.0,84.0
13935,Albota,AG,34.0,236.0
13999,Aninoasa,AG,35.0,302.0
14049,Arefu,AG,20.0,118.0
14085,Babana,AG,32.0,195.0
14165,Baiculesti,AG,34.0,347.0
14272,Balilesti,AG,32.0,275.0
14352,Beleti-Negresti,AG,15.0,113.0
14405,Berevoesti,AG,31.0,349.0
14450,Barla,AG,60.0,382.0
14584,Bogati,AG,31.0,289.0
14673,Boteni,AG,33.0,175.0
14726,Botesti,AG,8.0,97.0
14753,Bradulet,AG,14.0,111.0
14851,Budeasa,AG,38.0,228.0
14922,Bughea De Jos,AG,22.0,320.0
14940,Buzoesti,AG,49.0,348.0
15064,Caldararu,AG,16.0,145.0
15108,Calinesti,AG,72.0,898.0
15233,Cateasca,AG,42.0,295.0
15313,Cepari,AG,20.0,145.0
15402,Cetateni,AG,35.0,289.0
15448,Cicanesti,AG,25.0,160.0
15493,Ciofrangeni,AG,22.0,134.0
15554,Ciomagesti,AG,9.0,90.0
15652,Cocu,AG,18.0,145.0
15741,Corbeni,AG,43.0,547.0
15830,Corbi,AG,32.0,269.0
15901,Cosesti,AG,51.0,409.0
15983,Cotmeana,AG,13.0,105.0
16132,Cuca,AG,24.0,140.0
16285,Davidesti,AG,32.0,283.0
16329,Dambovicioara,AG,6.0,67.0
16365,Darmanesti,AG,24.0,148.0
16427,Dobresti,AG,12.0,120.0
16454,Domnesti,AG,59.0,551.0
16472,Dragoslavele,AG,22.0,260.0
16506,Draganu,AG,16.0,129.0
16551,Godeni,AG,13.0,137.0
16613,Harsesti,AG,17.0,162.0
