Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
41854,Sinca,BV,27.0,403.0
41925,Sanpetru,BV,24.0,203.0
41943,Soars,BV,12.0,230.0
42003,Tarlungeni,BV,120.0,1029.0
42058,Teliu,BV,37.0,631.0
42076,Ticusu,BV,9.0,161.0
42101,Ucea,BV,19.0,205.0
42156,Ungra,BV,16.0,264.0
42183,Vama Buzaului,BV,34.0,293.0
42236,Vistea,BV,10.0,152.0
42307,Voila,BV,15.0,149.0
42398,Vulcan,BV,47.0,503.0
42449,Sinca Noua,BV,24.0,142.0
42456,Crizbav,BV,24.0,349.0
42464,Sambata De Sus,BV,3.0,86.0
42472,Holbav,BV,17.0,172.0
42480,Dragus,BV,7.0,137.0
42498,Augustin,BV,24.0,330.0
42682,Municipiul Braila,BR,4384.0,23684.0
42708,Chiscani,BR,38.0,311.0
42753,Oras Faurei,BR,133.0,712.0
42771,Surdila-Greci,BR,10.0,92.0
42824,Baraganul,BR,28.0,263.0
42842,Bertestii De Jos,BR,28.0,295.0
42913,Bordei Verde,BR,29.0,223.0
42968,Ciocile,BR,27.0,264.0
43019,Ciresu,BR,34.0,289.0
43073,Dudesti,BR,38.0,356.0
43117,Frecatei,BR,10.0,122.0
43180,Galbenu,BR,32.0,284.0
43242,Gemenele,BR,23.0,173.0
43279,Gradistea,BR,26.0,250.0
43313,Gropeni,BR,30.0,284.0
43331,Oras Ianca,BR,189.0,1381.0
43411,Oras Insuratei,BR,213.0,1219.0
43466,Jirlau,BR,31.0,286.0
43493,Marasu,BR,26.0,246.0
43563,Maxineni,BR,61.0,435.0
43625,Mircea Voda,BR,24.0,251.0
43652,Movila Miresii,BR,36.0,380.0
43698,Racovita,BR,3.0,80.0
43732,Ramnicelu,BR,16.0,182.0
