Siruta,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
25745,0.0,0.0,237.0,0.0
25825,0.0,0.0,478.0,0.0
25861,0.0,0.0,224.0,0.0
25932,0.0,0.0,456.0,0.0
26029,0.0,0.0,230.0,0.0
26083,0.0,0.0,353.0,0.0
26118,0.0,0.0,236.0,0.0
26289,0.0,0.0,366.0,0.0
26320,0.0,0.0,153.0,0.0
26338,0.0,0.0,274.0,0.0
26346,0.0,0.0,430.0,0.0
26353,0.0,0.0,265.0,0.0
26361,0.0,0.0,138.0,0.0
26379,0.0,0.0,133.0,0.0
26564,10511.0,1601.0,17559.0,15833.0
26582,0.0,0.0,754.0,0.0
26653,0.0,0.0,293.0,0.0
26699,773.0,114.0,1269.0,0.0
26742,0.0,0.0,221.0,0.0
26804,1617.0,214.0,1350.0,0.0
26840,899.0,170.0,743.0,0.0
26877,1185.0,130.0,1631.0,116.0
26920,0.0,0.0,163.0,0.0
26975,1198.0,216.0,1557.0,0.0
27007,0.0,0.0,133.0,0.0
27070,0.0,0.0,216.0,0.0
27169,0.0,0.0,227.0,0.0
27212,0.0,0.0,230.0,0.0
27285,0.0,0.0,370.0,0.0
27329,0.0,0.0,351.0,0.0
27383,0.0,0.0,618.0,0.0
27436,0.0,0.0,222.0,0.0
27506,0.0,0.0,120.0,0.0
27560,79.0,0.0,376.0,0.0
27631,127.0,53.0,242.0,0.0
27686,296.0,0.0,430.0,0.0
27757,0.0,0.0,292.0,0.0
27846,0.0,0.0,191.0,0.0
27908,0.0,0.0,206.0,0.0
27935,0.0,0.0,130.0,0.0
27971,0.0,0.0,304.0,0.0
28077,0.0,0.0,137.0,0.0
28139,0.0,0.0,79.0,0.0
28193,0.0,0.0,57.0,0.0
28246,0.0,0.0,187.0,0.0
28335,0.0,0.0,281.0,0.0
28415,0.0,0.0,132.0,0.0
28497,0.0,0.0,310.0,0.0
28530,10.0,0.0,319.0,0.0
28610,0.0,0.0,229.0,0.0
28665,0.0,0.0,406.0,0.0
28709,0.0,0.0,91.0,0.0
28763,0.0,0.0,245.0,0.0
28816,0.0,0.0,174.0,0.0
28889,0.0,0.0,60.0,0.0
28941,0.0,0.0,98.0,0.0
29001,0.0,0.0,456.0,0.0
29038,0.0,0.0,209.0,0.0
29092,0.0,0.0,671.0,0.0
29154,125.0,43.0,640.0,0.0
29243,0.0,0.0,149.0,0.0
29341,0.0,0.0,328.0,0.0
29403,27.0,0.0,333.0,0.0
29467,0.0,0.0,243.0,0.0
29519,0.0,0.0,242.0,0.0
29573,0.0,0.0,257.0,0.0
29662,0.0,0.0,274.0,0.0
29724,0.0,0.0,547.0,0.0
29760,0.0,0.0,64.0,0.0
29813,0.0,0.0,389.0,0.0
29902,0.0,0.0,365.0,0.0
29948,0.0,0.0,102.0,0.0
30014,0.0,0.0,219.0,0.0
30069,0.0,0.0,192.0,0.0
30149,0.0,0.0,327.0,0.0
30229,0.0,0.0,295.0,0.0
30274,0.0,0.0,414.0,0.0
30336,0.0,0.0,242.0,0.0
30416,0.0,0.0,27.0,0.0
30470,0.0,0.0,229.0,0.0
30568,327.0,0.0,731.0,0.0
30648,0.0,0.0,151.0,0.0
30719,0.0,0.0,219.0,0.0
30773,0.0,0.0,162.0,0.0
30844,0.0,0.0,241.0,0.0
30871,0.0,0.0,164.0,0.0
30915,353.0,122.0,1255.0,0.0
30988,0.0,0.0,288.0,0.0
31011,0.0,0.0,433.0,0.0
31057,0.0,0.0,92.0,0.0
31128,0.0,0.0,203.0,0.0
31208,0.0,0.0,92.0,0.0
31262,280.0,0.0,568.0,0.0
31333,0.0,0.0,419.0,0.0
31379,0.0,0.0,47.0,0.0
31422,0.0,0.0,171.0,0.0
31510,546.0,0.0,318.0,0.0
31565,0.0,0.0,261.0,0.0
31609,0.0,0.0,151.0,0.0
31654,0.0,0.0,410.0,0.0
31716,0.0,0.0,647.0,0.0
31789,330.0,0.0,930.0,0.0
31841,0.0,0.0,267.0,0.0
31878,0.0,0.0,304.0,0.0
31921,0.0,0.0,95.0,0.0
31976,394.0,0.0,404.0,0.0
32027,308.0,208.0,1012.0,0.0
32045,0.0,0.0,134.0,0.0
32090,0.0,0.0,185.0,0.0
32153,0.0,0.0,170.0,0.0
32161,0.0,0.0,39.0,0.0
32179,0.0,0.0,259.0,0.0
32187,0.0,0.0,272.0,0.0
32195,0.0,0.0,155.0,0.0
32201,0.0,0.0,172.0,0.0
32394,5209.0,849.0,7321.0,1132.0
32483,1166.0,165.0,1230.0,0.0
32544,1561.0,87.0,984.0,286.0
32599,553.0,41.0,1242.0,0.0
32633,0.0,0.0,283.0,0.0
32660,0.0,0.0,190.0,0.0
32704,0.0,0.0,152.0,0.0
32768,0.0,0.0,165.0,0.0
32811,100.0,69.0,252.0,0.0
32884,0.0,0.0,275.0,0.0
32955,0.0,0.0,85.0,0.0
33015,0.0,0.0,174.0,0.0
33122,0.0,0.0,127.0,0.0
33177,0.0,0.0,119.0,0.0
33202,0.0,0.0,603.0,0.0
33248,459.0,144.0,586.0,0.0
33275,0.0,0.0,222.0,0.0
33337,0.0,0.0,216.0,0.0
33364,0.0,0.0,326.0,0.0
33382,0.0,0.0,350.0,0.0
33435,90.0,63.0,579.0,0.0
33514,0.0,0.0,255.0,0.0
33541,0.0,0.0,445.0,0.0
33603,0.0,0.0,289.0,0.0
33621,194.0,78.0,850.0,0.0
33658,0.0,0.0,199.0,0.0
33729,0.0,0.0,175.0,0.0
33765,0.0,0.0,212.0,0.0
33845,0.0,0.0,81.0,0.0
33881,0.0,0.0,106.0,0.0
33952,0.0,0.0,115.0,0.0
33989,0.0,0.0,421.0,0.0
34075,0.0,0.0,232.0,0.0
34155,0.0,0.0,286.0,0.0
34173,0.0,0.0,286.0,0.0
34235,341.0,60.0,609.0,0.0
34262,0.0,0.0,250.0,0.0
34280,0.0,0.0,426.0,0.0
34333,0.0,0.0,591.0,0.0
34360,0.0,0.0,173.0,0.0
34397,0.0,0.0,175.0,0.0
34422,0.0,0.0,85.0,0.0
34477,0.0,0.0,144.0,0.0
34547,0.0,0.0,231.0,0.0
34618,0.0,0.0,360.0,0.0
34645,0.0,0.0,222.0,0.0
34690,0.0,0.0,321.0,0.0
34770,0.0,0.0,163.0,0.0
34850,0.0,0.0,253.0,0.0
34903,0.0,52.0,230.0,0.0
34985,140.0,0.0,588.0,0.0
35054,178.0,56.0,519.0,0.0
35090,0.0,0.0,630.0,0.0
35152,0.0,55.0,258.0,0.0
35269,0.0,0.0,310.0,0.0
35312,0.0,0.0,189.0,0.0
35429,0.0,0.0,331.0,0.0
35731,8058.0,932.0,9651.0,0.0
35759,0.0,0.0,276.0,0.0
35839,0.0,0.0,344.0,0.0
35884,0.0,0.0,347.0,0.0
35946,671.0,242.0,936.0,0.0
36006,1877.0,67.0,2737.0,0.0
36060,702.0,27.0,740.0,0.0
36131,0.0,0.0,939.0,0.0
36202,0.0,0.0,444.0,0.0
36300,0.0,0.0,395.0,0.0
36373,0.0,0.0,160.0,0.0
36426,0.0,0.0,248.0,0.0
36453,309.0,0.0,418.0,0.0
36499,0.0,0.0,392.0,0.0
36532,0.0,0.0,204.0,0.0
36569,0.0,0.0,396.0,0.0
36649,0.0,0.0,142.0,0.0
36676,0.0,0.0,332.0,0.0
36756,0.0,0.0,732.0,0.0
36809,234.0,82.0,407.0,0.0
36907,0.0,0.0,581.0,0.0
36952,0.0,0.0,492.0,0.0
37011,0.0,0.0,224.0,0.0
37057,0.0,0.0,322.0,0.0
37100,0.0,0.0,289.0,0.0
37173,0.0,0.0,237.0,0.0
37217,0.0,0.0,361.0,0.0
37280,587.0,170.0,889.0,0.0
37324,0.0,0.0,539.0,0.0
37397,0.0,0.0,327.0,0.0
37459,0.0,0.0,438.0,0.0
37547,0.0,0.0,363.0,0.0
37618,0.0,0.0,234.0,0.0
37672,0.0,0.0,422.0,0.0
37734,0.0,0.0,392.0,0.0
37770,0.0,0.0,629.0,0.0
37823,0.0,0.0,359.0,0.0
37850,0.0,0.0,222.0,0.0
37912,0.0,0.0,381.0,0.0
37958,0.0,0.0,408.0,0.0
38063,0.0,0.0,462.0,0.0
38161,0.0,0.0,194.0,0.0
38241,0.0,0.0,240.0,0.0
38321,0.0,0.0,269.0,0.0
