Siruta,Localitate,NascutiVii_1000loc
157923,Nitchidorf,11.316259678379987
93370,Dor Marunt,11.308562197092083
151460,Serbauti,11.308068459657703
60883,Adamclisi,11.306532663316583
138039,Oras Livada,11.30636153112655
68002,Manesti,11.30484767196781
147241,Brodina,11.295180722891565
26742,Astileu,11.287288363343187
56666,Caseiu,11.285266457680251
142676,Sanmihaiu Almasului,11.282660332541568
119527,Sanpetru De Campie,11.279520620373635
96147,Ceplenita,11.276499774470004
123914,Raucesti,11.276447337828412
164197,Hoceni,11.271574498062698
79736,Calnic,11.27141568981064
115637,Balauseri,11.27089001165954
95060,Municipiul Iasi,11.268551547980799
109265,Oras Ulmeni,11.2463614712887
29001,Curtuiseni,11.241568823382464
137844,Hodod,11.239669421487603
63937,Borosneu Mare,11.229135053110774
41667,Prejmer,11.226611226611226
104225,Marsa,11.223750905141202
140324,Bocsa,11.219792865362486
148667,Fratautii Noi,11.214953271028037
143487,Cristian,11.20915812067732
136768,Andrid,11.198208286674133
133722,Iordacheanu,11.187768040275966
32483,Oras Beclean,11.187677340899878
104582,Petrachioaia,11.185006045949214
24034,Parava,11.179758752574287
158733,Sanpetru Mare,11.16382919341334
30274,Osorhei,11.158420202613419
115575,Bagaciu,11.158137745286648
87996,Baru,11.155091759625765
42076,Ticusu,11.152416356877323
121297,Bicaz-Chei,11.149228130360205
145667,Seica Mare,11.134453781512605
96717,Dagata,11.131349929164136
60801,Oras Harsova,11.129908289555694
98220,Motca,11.129355956942163
63152,Lumina,11.120535293563284
149290,Marginea,11.120151885001356
32161,Paleu,11.119081779053085
61871,Independenta,11.118378024852845
105972,Vanatorii Mici,11.118238186871926
140379,Buciumi,11.115369873514757
65501,Ulmi,11.108592155973701
74028,Salcuta,11.100832562442184
84415,Frumoasa,11.099365750528541
157004,Foeni,11.098779134295228
90663,Rapoltu Mare,11.094301563287948
165416,Pogana,11.081162024558251
101190,Oras Bolintin-Vale,11.081140191003863
115851,Breaza,11.0803324099723
148006,Oras Dolhasca,11.077191452245966
148202,Dorna Candrenilor,11.071312276131554
147036,Bilca,11.056826947801492
24187,Pancesti,11.055956678700362
153776,Vitanesti,11.055634807417974
104635,Plataresti,11.048158640226628
177469,Reghiu,11.045029736618522
155083,Beciu,11.042944785276074
134648,Posesti,11.041405269761606
115520,Batos,11.040638947615692
137611,Doba,11.040481766477082
71457,Calopar,11.0397946084724
125141,Pancesti,11.03896103896104
73772,Predesti,11.031175059952039
14922,Bughea De Jos,11.028219266947778
179347,Glina,11.01212571145756
76692,Matca,11.003029819805453
23207,Lipova,11.00282929896259
72276,Farcas,10.999521759923482
119242,Oras Sarmasu,10.996659242761693
