,u1,u2,u3,u4
156,4.137788033885462,-5.5048886671960266e-05,-2.559889896277712e-05,3.806411468215064e-08
157,0.08639721724290679,-5.295544761360813e-05,-3.7084218837232175e-05,8.065895899976989e-08
158,0.017956293476074102,-5.2920082745226905e-05,-3.727824255341716e-05,8.137852189180499e-08
159,0.6720312662495249,-5.325805707488306e-05,-3.542400023906737e-05,7.450181636077254e-08
160,-0.0420787496572387,-5.2889061372567674e-05,-3.7448436372101734e-05,8.200970842294445e-08
161,0.2012775859010114,-5.301480872243949e-05,-3.675854357136387e-05,7.945114873421811e-08
162,0.7304094981275352,-5.3288222338359396e-05,-3.525850332771152e-05,7.388804893842725e-08
163,-0.06576140465950334,-5.287682404536519e-05,-3.75155745181093e-05,8.225869921364188e-08
164,0.6447426102798373,-5.324395645098345e-05,-3.550136106574278e-05,7.478871932946462e-08
165,0.0892966369396861,-5.295694580490442e-05,-3.7075999249397046e-05,8.062847555934304e-08
166,0.059985696643673383,-5.29418002240296e-05,-3.715909306590576e-05,8.093664008733158e-08
167,-0.022416298436222698,-5.289922137571434e-05,-3.7392695133595864e-05,8.18029845874651e-08
168,-0.13164401692917777,-5.2842781110467614e-05,-3.7702345656795415e-05,8.295136495236633e-08
169,-0.07426474477862922,-5.287243019026335e-05,-3.753968070427704e-05,8.234810022799536e-08
170,-0.08837200532010167,-5.28651406712731e-05,-3.757967348878211e-05,8.249641881628178e-08
171,-0.10995928138183672,-5.285398607055029e-05,-3.764087142845494e-05,8.272337955758788e-08
172,-0.09936056232218124,-5.285946265217934e-05,-3.76108250359515e-05,8.261194849385186e-08
173,-0.021124960251942833,-5.289988863737615e-05,-3.738903430876243e-05,8.178940792912467e-08
174,-0.07075620329681222,-5.2874243127610244e-05,-3.752973431227653e-05,8.231121270344884e-08
175,-0.12423709602311972,-5.2846608422681636e-05,-3.7681347718124985e-05,8.287349128942734e-08
176,-0.08449799076726208,-5.286714245628628e-05,-3.756869101427997e-05,8.245568884125753e-08
177,-0.05720933479757444,-5.2881243080201845e-05,-3.749133018760607e-05,8.216878587255802e-08
178,-0.06037676807977033,-5.287960640063994e-05,-3.750030956927377e-05,8.220208710999457e-08
179,-0.11081205188088945,-5.2853545426059844e-05,-3.764328895428817e-05,8.273234527536984e-08
180,-0.14236456034584077,-5.28372415796668e-05,-3.7732737410131415e-05,8.306407683292889e-08
181,-0.12574771805001314,-5.28458278524474e-05,-3.7685630192458855e-05,8.288937341805768e-08
182,-0.06941613536972935,-5.287493556895177e-05,-3.7525935343110064e-05,8.229712371837713e-08
183,-0.09487742598430399,-5.2861779183256586e-05,-3.7598115757283385e-05,8.25648144347152e-08
184,-0.03221097673962844,-5.2894160258905795e-05,-3.742046214459896e-05,8.190596226015792e-08
185,-0.11232267390778287,-5.2852764855798686e-05,-3.764757142862195e-05,8.274822740398905e-08
186,0.10189327545426512,-5.296345475363309e-05,-3.7040288939226235e-05,8.04960390996797e-08
