Indicativ,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17
cj,0.331239958282888,-0.2402057834199419,-0.47697661099922317,-1.4364512861268754,0.2766988854097633,0.8652844522040752,0.8406424327626082,0.9721618463012212,0.9292432918660029,-1.003412860482027,-0.17601808024636723,0.04066254760134269,-0.2714127184815338,0.2532213752714558,0.45176902688069404,0.9062395218243496,0.2259208757386917
ct,0.2670768755920734,0.23176466969053017,-0.9033312591774713,-0.6093289072766332,-1.1131887244247465,0.009688357659175193,-0.5158590432228224,1.1847667841526426,0.44994626734561644,-0.1675662725719723,-0.07043490077209905,0.024297800737172238,0.02666174923625547,-1.1161873061082634,0.26439595698723845,-0.1619644252884901,0.24320009814904453
cv,0.24621015145193909,-0.3486944830036761,0.6441035629604572,1.0702500688319467,0.8807378618319576,0.016833179184835907,-0.2513082945340951,-1.5149339369018693,-0.28413628589255197,-0.410984066792549,-0.4630103826456792,0.07212371853728779,0.7550644452642175,-0.12733261115292274,-0.08715941571022671,-0.5077524578236087,-0.9101952727401382
db,0.05122397091297883,0.22571747769755854,-0.11132296318581976,0.17745751976026633,-0.3937281721303661,-1.1468230450998431,-0.01633886204607892,-0.8578543861036647,-0.43620404754660946,-1.0508538857003575,0.0928441632072945,-0.43010822252800845,0.23326093837684445,0.5951526379685782,2.240823798644131,1.0983267760308864,-0.5358574077612319
dj,-0.19527774238959264,0.29923320754102883,-0.2673953345456167,-0.5256704311994678,0.9095350737431921,0.9667031813670127,-1.1803520742119582,-0.40307283377395636,0.15043676550404447,0.6788912225979324,-0.21863464582815806,-0.37679615943253,-0.7493734556926231,0.8161083588073478,-0.19099957418797095,1.1756375445960385,0.5050780632322586
gl,0.1659028819215837,0.10024007951142246,-0.6275842812806827,1.9796031531574854,0.12083208231553592,0.4227015458693174,-0.44086305478712307,-0.2543636714118971,0.9355488125363589,0.5466024751558816,0.3417314401012323,0.2568798319818553,1.3142496015373861,0.84580317873124,-0.29252336298277876,-0.13002056793120428,-0.7120807851326728
gr,-0.22613956761824636,0.5788530756336107,0.11184245622590375,-0.8633843305760599,-0.008704521604752331,-1.0419091617355567,0.04283573695400422,0.4043565727240185,1.4846889050152836,0.629538756931766,0.544017860971285,0.035863403933126106,-0.5609953575609525,1.3836749409290208,-0.49612679501321355,-0.40545389427374123,-0.8797321142300171
gj,-0.04976807625480459,0.018026056602853845,0.2101683212771989,-0.0732734211656237,0.8238366571900825,-1.0820492948966798,-0.37682442542130523,-0.6872424537424201,-0.6159471786824803,-0.6298390573553008,-0.8872400181821258,1.3493337077043526,0.20259237245960832,-0.015034270004941225,-0.5544531059640051,1.1885431081908475,0.507226327026184
hr,0.37658043339270625,0.03529143908680477,1.176892314136252,0.3502412624468194,0.2536705714752255,0.29855789922475845,-0.5605404193772372,0.527880038144322,0.2769711094660044,0.6734342333324362,-1.412056615967292,0.3333765577648511,-0.9845006684788017,-1.55706309540857,-0.09488530348917133,-0.4305843571346534,-0.3051204937659331
hd,0.19751788070179582,0.9874919659674212,-1.0560601349508547,1.4764597396782453,1.323763973152867,0.12317199332583756,1.1321754081858266,-0.9603061560744797,0.5377286052436882,0.08197496745425471,-0.7036784142539062,-0.7572465524447952,-0.8600747040195752,-1.0253041041083115,0.5900288084907853,0.5665272872800389,-0.31964910198001867
il,-0.11859418594762328,0.4702483532071529,0.8045422903564112,-0.3547430863238985,-0.03691621175891005,-0.6719894463681874,-0.14440619492536014,-1.6110654076060493,0.9389387904097245,-1.6137820340968894,0.27598576776169875,0.13833903842721085,-0.47352924446389316,-0.3116445253091136,-0.6851250698046815,-0.6447166861902294,0.7447691157454548
is,0.009273208399985074,-0.7236114240560275,-0.4436247886387774,0.5655703157272226,-1.4675006738803993,-1.078486425674937,0.19670290509788307,-1.084228176762548,0.4003933433855984,0.21230409893848076,-0.3836469022858263,-0.4019599007355517,-0.16451406207791555,-0.9731721753366238,-1.1858685231127404,-0.5025729400906193,-0.9204419431407391
