Siruta,Localitate,Categorie_Max,Categorie_Min
27212,Auseu,Barbati_45-64,Barbati_18-24
27285,Avram Iancu,Barbati_45-64,Femei_18-24
27329,Balc,Barbati_45-64,Femei_18-24
27383,Batar,Barbati_45-64,Femei_18-24
27436,Biharia,Femei_45-64,Femei_18-24
27506,Boianu Mare,Barbati_45-64,Femei_18-24
27560,Borod,Barbati_45-64,Barbati_18-24
27631,Bors,Barbati_45-64,Femei_18-24
27686,Bratca,Barbati_45-64,Femei_18-24
27757,Brusturi,Barbati_45-64,Femei_18-24
27846,Budureasa,Barbati_45-64,Femei_18-24
27908,Buduslau,Barbati_45-64,Femei_18-24
27935,Bulz,Barbati_45-64,Femei_18-24
27971,Buntesti,Barbati_45-64,Femei_18-24
28077,Cabesti,Barbati_45-64,Barbati_18-24
28139,Capalna,Femei_65_,Femei_18-24
28193,Carpinet,Barbati_45-64,Barbati_18-24
28246,Cefa,Barbati_45-64,Femei_18-24
28335,Ceica,Barbati_45-64,Barbati_18-24
28415,Cetariu,Femei_45-64,Femei_18-24
28497,Cherechiu,Barbati_45-64,Femei_18-24
28530,Chislaz,Barbati_45-64,Barbati_18-24
28610,Ciuhoi,Barbati_45-64,Femei_25-34
28665,Ciumeghiu,Barbati_45-64,Femei_18-24
28709,Campani,Femei_45-64,Femei_18-24
28763,Cociuba Mare,Barbati_45-64,Femei_18-24
28816,Copacel,Barbati_45-64,Barbati_18-24
28889,Cristioru De Jos,Barbati_45-64,Femei_18-24
28941,Curatele,Barbati_45-64,Femei_18-24
29001,Curtuiseni,Barbati_45-64,Barbati_65_
29038,Derna,Barbati_45-64,Barbati_18-24
29092,Diosig,Femei_45-64,Femei_18-24
29154,Dobresti,Barbati_45-64,Femei_18-24
29243,Draganesti,Barbati_45-64,Femei_25-34
29341,Dragesti,Femei_45-64,Femei_65_
29403,Finis,Barbati_45-64,Femei_18-24
29467,Girisu De Cris,Barbati_45-64,Femei_18-24
29519,Hidiselu De Sus,Barbati_45-64,Femei_18-24
29573,Holod,Barbati_45-64,Femei_18-24
29662,Husasau De Tinca,Barbati_45-64,Femei_18-24
29724,Ineu,Barbati_45-64,Femei_65_
29760,Lazuri De Beius,Barbati_45-64,Femei_18-24
29813,Lazareni,Barbati_45-64,Femei_18-24
29902,Lugasu De Jos,Barbati_45-64,Barbati_18-24
29948,Lunca,Barbati_45-64,Femei_18-24
30014,Madaras,Barbati_45-64,Femei_18-24
30069,Magesti,Barbati_45-64,Barbati_18-24
30149,Nojorid,Barbati_45-64,Barbati_18-24
30229,Olcea,Barbati_45-64,Femei_18-24
30274,Osorhei,Barbati_45-64,Barbati_18-24
30336,Pietroasa,Barbati_45-64,Femei_18-24
30416,Pocola,Barbati_45-64,Barbati_18-24
30470,Pomezeu,Barbati_45-64,Femei_18-24
30568,Popesti,Barbati_45-64,Femei_18-24
30648,Rabagani,Barbati_45-64,Femei_18-24
30719,Remetea,Barbati_45-64,Femei_18-24
30773,Rieni,Barbati_45-64,Femei_18-24
30844,Rosia,Barbati_45-64,Barbati_18-24
30871,Sacadat,Barbati_45-64,Femei_25-34
30915,Oras Sacueni,Barbati_45-64,Femei_18-24
30988,Salacea,Femei_45-64,Barbati_18-24
31011,Salard,Barbati_45-64,Femei_18-24
31057,Sambata,Barbati_45-64,Femei_25-34
31128,Sarbi,Barbati_45-64,Barbati_18-24
31208,Spinus,Femei_45-64,Femei_18-24
31262,Suplacu De Barcau,Barbati_45-64,Femei_18-24
31333,Simian,Barbati_45-64,Femei_18-24
31379,Sinteu,Femei_45-64,Femei_18-24
31422,Soimi,Barbati_45-64,Barbati_18-24
31510,Suncuius,Barbati_45-64,Femei_25-34
31565,Tarcea,Femei_45-64,Femei_18-24
31609,Tarcaia,Barbati_45-64,Barbati_18-24
31654,Tauteu,Barbati_45-64,Femei_18-24
31716,Tileagd,Barbati_45-64,Femei_18-24
31789,Tinca,Barbati_45-64,Femei_18-24
31841,Tulca,Femei_45-64,Femei_18-24
31878,Tetchea,Barbati_45-64,Barbati_18-24
31921,Uileacu De Beius,Barbati_45-64,Barbati_18-24
31976,Vadu Crisului,Barbati_45-64,Barbati_18-24
32027,Oras Valea Lui Mihai,Femei_45-64,Barbati_18-24
32045,Viisoara,Barbati_45-64,Femei_25-34
32090,Varciorog,Barbati_45-64,Femei_18-24
32153,Tamaseu,Barbati_45-64,Barbati_18-24
32161,Paleu,Barbati_45-64,Femei_18-24
32179,Sannicolau Roman,Barbati_45-64,Femei_18-24
32187,Rosiori,Barbati_45-64,Femei_18-24
32195,Gepiu,Barbati_45-64,Femei_18-24
32201,Toboliu,Barbati_45-64,Femei_18-24
32394,Municipiul Bistrita,Femei_45-64,Femei_18-24
32483,Oras Beclean,Femei_45-64,Barbati_18-24
32544,Oras Nasaud,Femei_45-64,Femei_18-24
32599,Oras Sangeorz-Bai,Femei_45-64,Barbati_18-24
32633,Bistrita Bargaului,Femei_45-64,Barbati_18-24
32660,Branistea,Barbati_45-64,Femei_18-24
32704,Budacu De Jos,Barbati_45-64,Barbati_18-24
32768,Budesti,Barbati_45-64,Femei_18-24
32811,Caianu Mic,Femei_65_,Femei_18-24
32884,Cetate,Barbati_45-64,Femei_18-24
32955,Ciceu-Giurgesti,Barbati_45-64,Barbati_18-24
33015,Chiochis,Barbati_45-64,Femei_18-24
33122,Chiuza,Barbati_45-64,Femei_25-34
33177,Cosbuc,Barbati_45-64,Barbati_18-24
33202,Dumitra,Barbati_45-64,Barbati_18-24
33248,Feldru,Barbati_45-64,Femei_18-24
33275,Galatii Bistritei,Barbati_45-64,Femei_25-34
33337,Ilva Mare,Barbati_45-64,Barbati_18-24
33364,Ilva Mica,Barbati_45-64,Barbati_18-24
33382,Josenii Bargaului,Barbati_45-64,Barbati_18-24
33435,Lechinta,Barbati_45-64,Femei_18-24
33514,Lesu,Barbati_45-64,Femei_18-24
33541,Livezile,Barbati_45-64,Barbati_18-24
33603,Lunca Ilvei,Barbati_45-64,Femei_25-34
33621,Maieru,Barbati_45-64,Barbati_18-24
33658,Matei,Barbati_45-64,Femei_18-24
33729,Magura Ilvei,Barbati_45-64,Barbati_18-24
33765,Mariselu,Barbati_45-64,Barbati_18-24
33845,Micestii De Campie,Barbati_45-64,Femei_18-24
33881,Milas,Barbati_45-64,Femei_25-34
33952,Monor,Barbati_45-64,Femei_18-24
33989,Nimigea,Barbati_45-64,Barbati_18-24
34075,Nuseni,Barbati_45-64,Femei_18-24
34155,Parva,Barbati_45-64,Barbati_18-24
34173,Petru Rares,Barbati_45-64,Femei_18-24
34235,Prundu Bargaului,Barbati_45-64,Femei_18-24
34262,Rebra,Femei_45-64,Barbati_18-24
34280,Rebrisoara,Barbati_45-64,Barbati_18-24
34333,Rodna,Barbati_45-64,Femei_18-24
34360,Romuli,Barbati_45-64,Femei_18-24
34397,Salva,Femei_45-64,Femei_18-24
34422,Silivasu De Campie,Barbati_45-64,Barbati_18-24
34477,Sanmihaiu De Campie,Barbati_45-64,Barbati_18-24
34547,Spermezeu,Barbati_45-64,Barbati_18-24
34618,Sant,Femei_45-64,Femei_18-24
34645,Sieu,Femei_45-64,Barbati_18-24
34690,Sieu-Magherus,Barbati_45-64,Barbati_18-24
34770,Sieu-Odorhei,Barbati_45-64,Femei_18-24
34850,Sieut,Barbati_45-64,Barbati_18-24
34903,Sintereag,Barbati_45-64,Femei_18-24
34985,Teaca,Barbati_45-64,Barbati_18-24
35054,Telciu,Barbati_45-64,Femei_18-24
35090,Tiha Bargaului,Barbati_45-64,Barbati_18-24
35152,Tarlisua,Barbati_45-64,Femei_18-24
35269,Uriu,Barbati_45-64,Femei_18-24
35312,Urmenis,Barbati_45-64,Femei_18-24
35429,Zagra,Barbati_45-64,Femei_18-24
35731,Municipiul Botosani,Femei_45-64,Femei_18-24
35759,Curtesti,Barbati_45-64,Femei_18-24
35839,Rachiti,Barbati_45-64,Femei_18-24
35884,Stauceni,Barbati_45-64,Femei_18-24
35946,Oras Darabani,Barbati_45-64,Femei_18-24
36006,Municipiul Dorohoi,Femei_45-64,Femei_18-24
36060,Oras Saveni,Barbati_45-64,Femei_25-34
36131,Albesti,Barbati_45-64,Femei_25-34
36202,Avrameni,Barbati_45-64,Barbati_25-34
36300,Baluseni,Barbati_45-64,Barbati_18-24
36373,Braesti,Barbati_45-64,Femei_18-24
