Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
cl,0.17911148057578682,0.5865107010277754,0.01143670749152623,0.0028762622450279446,3.4102463518820697e-06,0.0006243713954978652,0.06581554968326779,0.0004873383564473723,0.05981986462970006,0.01457897965387706,0.0065100636063304155,0.034564039076206456,0.00767544670861867,0.00020395499089215533,0.02549199062711854,0.004028531515107263,0.0002613081704679859
cs,0.03038976574323635,0.1879301448810489,0.0026317914959884635,0.07115818611601032,4.3468973701472706e-05,0.00048760394672912893,0.36056528367835855,0.14267029073384702,0.09811354436536389,0.0074211849219888056,0.01034284068214889,0.08506555515781228,0.00042553748654633575,0.0006963476758078116,0.0018832842888134654,0.00015990282008795332,1.5267032510397052e-05
cj,0.5659800236596434,0.0035376647512369076,0.0087353480537736,0.03416974267211163,0.005506835862799164,0.0162186638280782,0.06268290307653446,0.02632176395580644,6.984234679989768e-05,0.03736762273259456,0.021916313329588936,0.0021694690263341734,0.12443460074827993,0.04580145036989504,0.03959562441702877,0.0053030261145139285,0.0001891050549809551
ct,0.15805607426302565,0.07237538009249811,0.0038768095510212956,0.2156351521359118,0.005941953575491362,0.00965104125239833,3.4981365324085566e-06,0.0034174356315767817,0.08591902836787146,0.09060700918157444,0.045325865686038615,0.1358769856422563,0.015165278602574446,0.09983031764362939,0.043427842501780424,0.014843620626300692,4.670710951852574e-05
cv,0.07206756493830518,0.00043387875632909425,0.0041693626515482635,0.1876852392744273,0.014603038906239981,0.03446020596858912,0.04640026436179114,0.030108362511180955,0.057858728869218494,0.256193966350552,0.01767088882110064,3.580833583461962e-05,0.12593598260587222,0.06255589961833853,0.08934536831062384,0.00042651075301415364,4.8928967034425216e-05
db,0.008858336101069772,0.6194463539952333,0.02930894474955011,0.006980254844560326,0.0010301177523518406,0.11381876592847479,0.005870207165044124,0.14775254390035095,0.026491169205226126,0.009336335028196315,0.0005489443043693767,0.00435596054541903,0.02342726045753388,0.0007136177712496023,0.0009545322331447442,0.0010923146204609067,1.4341397764963664e-05
dj,0.04282202919498286,0.17442631029299507,0.26133197081840925,0.015818290471189066,0.008680899195809097,0.08500401708205288,0.19380142981646195,0.03043251103066237,0.01998111383692966,0.05046318133958685,0.018341037408393428,0.025217990086290026,0.044959138938735856,0.004795612225782391,0.007228437234928673,0.016633804245030154,6.222678176045258e-05
gl,0.2033000112010873,0.13884319765328598,0.10677423529009426,0.04208600042168485,0.04489083090543007,0.0049388150708619995,0.0038280063783336926,0.0003086852845983602,0.2800913470047726,0.009481109861365036,0.06233353629536369,0.04770756609395312,0.01323108589995927,0.04109454120375436,0.0005791897820760048,0.0004172486837248921,9.45929696546582e-05
gr,0.11265311287960243,0.016096462910858436,0.29402563831722356,0.000145141280630023,0.04915249847174251,0.04755323347970888,0.009153559045825935,0.17251885780269258,0.011998011776085433,0.0001277182430045066,0.009166598939311951,0.21264305744632964,0.022655606636693106,0.007115137257044577,0.0017373921576475434,0.0331100403078023,0.00014793304779659225
gj,0.014594513240494211,0.06595774787337016,0.5126161633428147,0.19429937051334242,0.023778103698592755,0.0032810176595830004,0.027430933481087563,0.00016830692580394407,0.005732412186616098,0.015315959613485702,0.035134647405577486,0.015412318519314863,0.019968517463724647,0.04166279821244891,0.006962303431651209,0.017684079133100758,8.072989915842672e-07
hr,0.020717506642425568,0.17771655814081277,0.10819563480438629,0.2327879756494216,0.021653616737792303,0.006594812493037637,0.012832944735200058,0.050320009922910115,0.0020089097554432073,0.0035287922945547445,0.10535176413909506,0.07411672610793311,0.05344814157380933,0.06220915363500127,0.06765500381634769,0.0007501025981786501,0.00011234695365051705
hd,0.17402812446572558,0.005189188720561339,0.19531882469300926,0.027134389587872114,0.029695372573617058,0.1279614548246125,0.06447304544105746,0.005473798327454166,0.22063941751624266,0.09088214303929937,0.0015488960379642924,0.009727354290749004,0.02212068978957341,0.0033342062195687652,0.0036631852204714894,0.0185600319857951,0.00024987726642659397
