Siruta,Localitate,PondereAngajati
149370,Manastirea Humorului,0.0
100219,Voinesti,0.0
34690,Sieu-Magherus,0.001102049812651532
124803,Tibucani,0.0
83847,Avramesti,0.0003590664272890485
67470,Finta,0.0
1936,Oras Zlatna,0.004263857536995234
59283,Sacuieu,0.009370816599732263
157585,Margina,0.0
75668,Baleni,0.0
133018,Draganesti,0.0008201763379126512
18331,Ratesti,0.0
42913,Bordei Verde,0.0
149414,Moara,0.0030652722683014787
108455,Petrova,0.0004008016032064128
75686,Baneasa,0.0
116652,Ernei,0.0006700167504187605
51118,Oras Oravita,0.007185090936307163
100273,Bals,0.0
124849,Urecheni,0.006024096385542169
141232,Garbou,0.0
108473,Poienile De Sub Munte,0.00029236916479875256
100282,Costesti,0.0
165817,Rosiesti,0.0
75711,Branistea,0.0
59327,Savadisla,0.0038314176245210726
92097,Vorta,0.0
67522,Glodeni,0.0
26564,Municipiul Oradea,0.005689925959165358
174021,Vaideeni,0.0010030090270812437
108491,Remetea Chioarului,0.0
34770,Sieu-Odorhei,0.0
10195,Bocsig,0.0
124885,Valea Ursului,0.0
100308,Draguseni,0.0006609385327164573
26582,Sanmartin,0.004716108747919364
42968,Ciocile,0.0
100317,Fantanele,0.0
133090,Dumbrava,0.0
83936,Bilbor,0.0
100326,Harmanesti,0.0008012820512820513
18411,Recea,0.0010834236186348862
100335,Rachiteni,0.06629834254143646
157683,Masloc,0.004846526655896607
116723,Faragau,0.0028768699654775605
75766,Brahasesti,0.0
100344,Roscani,0.0
83963,Capalnita,0.0
149502,Moldova-Sulita,0.0
10239,Brazii,0.0
100353,Valea Lupului,0.000463893613731251
141312,Halmasd,0.0
51207,Oras Otelu Rosu,0.0058290665616384406
174085,Valea Mare,0.0
108552,Remeti,0.0
165899,Solesti,0.0
67595,Gura Ocnitei,0.00041028446389496716
43019,Ciresu,0.0016191709844559584
100362,Ciohorani,0.0
124938,Alexandru Cel Bun,0.0
83981,Ciucsangeorgiu,0.0003977724741447892
92177,Zam,0.0005952380952380953
59416,Sic,0.007484407484407485
26653,Santandrei,0.0031435557107928748
149539,Moldovita,0.0024710131153773047
34850,Sieut,0.0015088645794039985
59434,Sancraiu,0.0
75819,Buciumeni,0.0
157736,Manastiur,0.0
18475,Rociu,0.0
51243,Armenis,0.0
133161,Filipestii De Padure,0.1187743098377763
10293,Buteni,0.007631347226298797
108598,Repedea,0.0
116796,Fantanele,0.013277006638503319
43073,Dudesti,0.0
67648,Gura Sutii,0.0
141376,Hereclean,0.0013126804935678655
108614,Rona De Jos,0.0
26699,Oras Alesd,0.00513592490923581
174156,Vladesti,0.005763688760806916
2130,Albac,0.0
149584,Musenita,0.0
34903,Sintereag,0.006804572672836146
157781,Moravita,0.0
75864,Cavadinesti,0.0
108632,Rona De Sus,0.0028199566160520607
125016,Vanatori-Neamt,0.0
165979,Stanilesti,0.0
67675,Hulubesti,0.00030883261272390367
133214,Filipestii De Targ,0.00048024972985952696
18527,Rucar,0.006613756613756613
51305,Bania,0.018306636155606407
10346,Carand,0.0
59498,Sanmartin,0.0
43117,Frecatei,0.0
26742,Astileu,0.0016124697661918839
84086,Ciumani,0.0
18554,Salatrucu,0.0
108669,Rozavlea,0.005626758361988122
116867,Galesti,0.011089866156787764
51332,Bautar,0.0
125061,Zanesti,0.0
10373,Cermei,0.0
141447,Hida,0.005116959064327485
84102,Carta,0.0
157834,Mosnita Noua,0.006517690875232775
174218,Voicesti,0.0012690355329949238
75917,Certesti,0.0
18581,Sapata,0.008610086100861008
149655,Ostra,0.0
67737,I. L. Caragiale,0.0030837004405286344
108696,Ruscova,0.002312344361437211
133278,Fantanele,0.010779029887310143
100521,Municipiul Giurgiu,0.002894146588524709
34985,Teaca,0.01597824239333673
108712,Satulung,0.0021926125822229717
125098,Dochia,0.0
166057,Stefan Cel Mare,0.0
43180,Galbenu,0.0022102936532996525
174254,Voineasa,0.005108556832694764
75953,Corod,0.0006454111268878275
125105,Ruginoasa,0.0
149682,Panaci,0.0
10417,Chisindia,0.0
26804,Municipiul Beius,0.00226540036594929
84148,Corbu,0.021592442645074223
51387,Berliste,0.0
125114,Ghindaoani,0.0
67773,Lucieni,0.0036532713384257723
59586,Sanpaul,0.0026396832380114386
125123,Valeni,0.0032530904359141183
100549,Slobozia,0.0
157898,Nadrag,0.0
116938,Ganesti,0.0005492996429552321
125132,Draganesti,0.0
84175,Corund,0.003223825606386245
133330,Floresti,0.00038003546997719787
174290,Zatreni,0.0
125141,Pancesti,0.0
10453,Conop,0.0
26840,Oras Stei,0.006187785848802798
141535,Horoatu Crasnei,0.0
125150,Gadinti,0.0
100576,Oras Buftea,0.03212397777074956
157923,Nitchidorf,0.0005955926146515784
76004,Corni,0.0
43242,Gemenele,0.0
18670,Schitu Golesti,0.0
35054,Telciu,0.00261437908496732
125169,Negresti,0.0
116983,Gheorghe Doja,0.007560137457044674
51449,Berzasca,0.0
67835,Ludesti,0.0
108794,Sacalaseni,0.0
125178,Boghicea,0.0
149753,Paltinoasa,0.005316497757102509
166137,Suletea,0.0037831021437578815
26877,Municipiul Marghita,0.0003287310979618672
100610,Municipiul Oltenita,0.00437636761487965
2309,Almasu Mare,0.0
59657,Suatu,0.0
76040,Cosmesti,0.0
84237,Danesti,0.0004510599909788002
141580,Ileanda,0.016858552631578948
43279,Gradistea,0.0
133394,Fulga,0.003674219228413962
